,"Helper count column, this is just the ID number extracted, ignore.",Last seen date,Last Seen time,Last seen by,,,Location,Physical Description,Birthday estimate,Behavior,TNR'd?,TNR date,Male or Female,Common nicknames,Comments,Number of pics,Recently seen? (Automatically checked if a photo is sent of this cat in the last 3 months AND they are NOT 'confirmed to not return'),"Confirmed to not return (Use this if deceased, adopted, assumed permanently missing, or similar)"
41. Gregory,41,3/22/2026,2:46:49 PM,cici4f3,,,Lot 50,"Black cat with white on legs, belly, neck, and face. White on the lower side of his face. He has a dot on his nose",4/1/2024,Usually with Eden. Skittish,Yes,9/10/2025,Male,,,351,TRUE,FALSE
42. Rubber,42,3/22/2026,2:46:47 PM,cici4f3,,,Lot 50,"Gray top, white belly. Big belly. Small mole on cat's right side of face. Oddly microwave-esque, but in a french way.",2/1/2022,Not super common sighting but will hang back and eat.,Yes,9/10/2025,Female,Stupid,The (now former) Lot 50 colony queen,350,TRUE,FALSE
43. Bruno,43,11/2/2025,5:49:37 PM,adeyumii,,,Lot 50,"Gray cat, may look black in shadows. Short-to-medium length fur. White socks on rear legs, small amount of white on chest and chin, small amount of white on front toes",1/1/2022,Kinda a dickhead to gorygreg,No,,Male,,,106,FALSE,FALSE
44. Shitbag Cuntface,44,3/23/2026,6:04:51 PM,adeyumii,,,Lot 50,Currently the only brown tabby at Lot 50. He is a rich brown with very dark stripes. Has a prominent stripe along his back. Face is thin and a bit round.,1/1/2019,Is pretty mean to the other cats sometimes and can be a big glutton,Yes,By 2/10/2021,Male,Bullet,,298,TRUE,FALSE
45. Boots,45,3/23/2026,5:09:56 PM,adeyumii,,,Lot 50,Fluffy black cat with lots of rusting. Parts of fur look gray or orange. Has white boots on back feet,1/1/2019,Super confident and calm. Other cats give him head bumps often. Confident around people,Yes,2/6/2023,Male,,https://discord.com/channels/551082419768393729/756137860570021907/1072133998438006785,608,TRUE,FALSE
46. Princess,46,3/22/2026,2:46:47 PM,cici4f3,,,Lot 50,Orange and black tortoiseshell. Has a lot of brindled orange bits along body and face. Face looks mostly orange.,1/1/2019,Hangs out with Nefarious a lot. Only a little skittish,Yes,,Female,,,126,TRUE,FALSE
47. Nefarious,47,1/15/2026,6:16:15 PM,izzyballz,,,Lot 50,Huge and super fluffy gray tabby with lots of white. Looks like albert einstein,1/1/2019,"Probably the oldest cat at L50. Mostly hangs out behind fence, but will come out after a while after being fed",Yes,2021,Male,Double Cheeseburger,Euthanized 11/7/2025,256,TRUE,FALSE
48. Houdini,48,9/24/2025,1:03:42 PM,kitadan,,,Mary Kay Apartments,Seal Point Siamese (very dark face and legs but light cream colored body),1/1/2021,"""Super rare sighting, doesn't like people""",,,,,,13,FALSE,FALSE
49. Freya,49,10/7/2025,9:07:04 AM,kitadan,,,Mary Kay Apartments,Gray and Orange tortoiseshell. Mostly gray. Looks especially sleepy most of the time.,1/1/2021,"A weird girl, loves head bumping the rest of her colony. Is especially close to her brother, Thor",Yes,,Female,,,57,FALSE,FALSE
50. Thor,50,10/14/2025,5:32:27 PM,kitadan,,,Mary Kay Apartments,Solid Gray with a very similar face and build to Freya. Face looks somewhere between sleepy and neutral,1/1/2021,Always looks kind of sleepy. Absolute foodie. Will always be sleeping near the feeder,Yes,,Male,,,47,FALSE,FALSE
51. Odin,51,1/28/2026,2:32:11 PM,kitadan,,,Mary Kay Apartments,Black and Orange Tortoiseshell,1/1/2021,"Odin is a majestic cat and a very rare one at that. He is a male tortoiseshell/calico, which makes him 1 in 3000!",Yes,2022,Male,,,11,TRUE,FALSE
52. Voidling,52,11/18/2025,3:51:16 PM,a1darek,,,"Center Chase Apartments & The Greens, Bookstore / First Baptist Church","""Black shorthair, female""",1/1/2023,"""She just shows up when she's hungry, when she's either in heat or nursing a litter. Very skittish. Brought 2 kittens to parking lot last summer.""",Yes,6/6/2025,Female,Boo,https://discord.com/channels/551082419768393729/756137860570021907/1380371495859126394,15,FALSE,FALSE
53. Piggy,53,1/11/2026,10:33:36 AM,ericagott,,,Center Chase Apartments & The Greens,"Shorthair brown tabby with extra toes on all of his feet. ""Piggy toes""",1/1/2017,"""This boy is super friendly to me. I can pick him up, give him kisses on his head, carry him around. Wants me to feed him by holding the plate on the fence while he eats.""",Yes,2017,Male,Piggy toes,Tang's great-grandson,3,TRUE,FALSE
54. Tommy,54,3/27/2025,12:37:22 AM,austinbaustinb,,,Center Chase Apartments & The Greens,Orange tabby.,1/1/2021,"""Comes around when Boo is there. Pretty sure he's the baby-daddy, lol.""",No,,Male,,,2,FALSE,FALSE
55. Callie,55,6/28/2025,7:03:04 AM,ericagott,,,Center Chase Apartments & The Greens,Calico,1/1/2014,"""Very skittish, is just now coming to eat on my porch while I'm there. It took me 6 years to catch her and stop the litters!""",Yes,08/01/2020,Female,,One of tang's first daughters,2,FALSE,FALSE
56. Lard,56,3/23/2025,12:42:25 AM,void_now,,,Mary Kay Apartments,Slightly rotund happy lookin gray tabby fella,1/1/2021,"Rare sighting, but friendly!! Loves pets",No,,Male,"""I can't believe its not pencil!""",,2,FALSE,FALSE
57. Airbus A320 Neo,57,5/6/2025,8:50:00 PM,austinbaustinb,,,Lot 50,Gray tabby with sharp yellow eyes and a pink nose,1/1/2021,Lives under some cars and the south end of lot 50. Often seen with Honda and Pallas,No,,,,,18,FALSE,FALSE
58. Eden,58,3/23/2026,6:04:51 PM,adeyumii,,,Lot 50,Gray tabby with white belly. Stripes are super dark compared to main coat,1/1/2024,Very brave. Will stare at you for a while before eating to determine if you are a threat.,Yes,8/25/2025,Male,,Likely sibling to Gregory,259,TRUE,FALSE
59. Creamsicle,59,2/11/2026,6:02:19 PM,cici4f3,,,West Campus,Orange with white belly,4/1/2024,Young and playful! But not a fan of humans,No,,,,,6,TRUE,FALSE
60. Redacted,60,8/28/2025,6:46:07 PM,wildflower1202,,,West Campus,Fully white cat with hints of pink/orange on ears.,4/1/2024,"Incredibly skittish and fast. Best defined as ""zoom""",No,,,Marshmallow,,2,FALSE,FALSE
61. Cassie,61,3/22/2026,2:46:47 PM,cici4f3,,,Lot 50,Fat black and white cat. White markings make his cheeks look more round. Tip of tail is white,1/1/2021,Fat boy,No,,Male,,,129,TRUE,FALSE
62. Gorygreg,62,3/18/2026,3:47:02 PM,adeyumii,,,Lot 50,"Black and white cat. Distinct white ""collar"" marking",4/1/2024,pregnant,No,,Female,Gorygreg,"VERY similar to gregory, but back right legs are different.",130,TRUE,FALSE
63. Mr Stinky,63,2/24/2026,4:46:12 PM,kitadan,,,"Mary Kay Apartments, All over!",Longhair classic (cinnamonroll) brown tabby,1/1/2021,"""He is always hassling noir as he is not neutered"" ",No,,Male,,,11,TRUE,FALSE
0. NotACat,0,2/28/2026,8:55:19 PM,emiximez,,,All over!,"This is to label things as ""not a cat"". If someone sends something that is a meme or not a campus cat, mark it as this instead of deleting it. This is needed to not confuse the TomCatVision thing.",1/1/1984,if not friend why friend shaped?,We don't do that.,,creature,,,428,TRUE,FALSE
64. Ernie,64,7/2/2025,9:34:45 AM,austinbaustinb,,,Heights On Pecan,Tuxedo with not a ton of white on belly. Last seen with a white flea collar and very skinny.,1/1/2023,"Fighting with Dingus, but doesn't seem as skittish or feral. Possible abandoned cat.",,,,,,37,FALSE,FALSE
65. Tepi,65,3/1/2026,7:20:53 PM,wildflower1202,,,Bookstore / First Baptist Church,"Light gray tabby who loves chilling in the sun. Green eyes, single father. Dark red nose. Defined chin",4/1/2024,Doesn't immediately run away when approached. May take bribes.,Yes,1/16/2026,Male,Christian name Tiny,"Single father of Nezhui, Coatl, and Chili",51,TRUE,FALSE
66. Toblerone,66,11/1/2025,5:40:38 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Angry lookin feller,1/1/2021,Doesn't run away. Will stare at you angrily,No,,Male,,Rolo's assumed brother,20,FALSE,FALSE
67. Waffles,67,3/20/2026,12:53:41 PM,cici4f3,,,All over!,"Brown tabby with eerie, bright yellow eyes. Stares at you angrily. Has a distinct roman numeral ""3"" on  their right side.",1/1/2021,Bitchass man,No,,Male,,,28,TRUE,FALSE
68. Unnamed Noir Child,68,7/20/2025,7:26:13 PM,kitadan,,,"Mary Kay Apartments, Zen Gardens Apartments",All black,6/1/2024,,No,,,UNC,Noir baby,16,FALSE,FALSE
69. Kinder,69,2/27/2026,9:24:13 PM,thedan5000,,,Bookstore / First Baptist Church,"Brown tabby, almost identical to Hershey. Candid expression. His ears too big for him damn he",1/1/2022,Hates you and your bloodline probably,No,,Male,Bookstore Hershey,Probably also Rolo's brother,13,TRUE,FALSE
70. Enchilada,70,4/1/2025,9:11:12 AM,pancakemixteamdj,,,Lot 50,Looks like Empanada,1/1/2022,,No,,Male probably,,,1,FALSE,FALSE
71. Robin,71,4/29/2025,8:01:49 AM,skelehusk,,,"Mary Kay Apartments, Zen Gardens Apartments",Tabby little guy at Liv+,1/1/2024,Unknown. Was found frolicking after a robin. Hangs out with Unnamed Noir Child a fair bit. Can be spotted around Liv+ and the east border of campus,No,,Male,,,11,FALSE,FALSE
72. Mr Sir,72,4/1/2025,8:24:09 PM,argonaut_1,,,"Mary Kay Apartments, Zen Gardens Apartments",Beige-ish tabby found at Liv+,1/1/2022,Very nice. Meows at the window in the morning.,No,,Male,"Fountain Pen, Mr. Pen",Humanely euthanized 4/10/2025 due to complications with FIV,1,FALSE,FALSE
73. Coronavirus,73,11/12/2025,9:46:03 PM,wildflower1202,,,"All over!, Bookstore / First Baptist Church",Basic brown tabby with a jaw comparible to a lion. Commonly confused with hershey and waffles,1/1/2022,Lets people get surprisingly close before running away. Twix saw this cat and puked. Eraser and eggs seemed scared.,No,,Male,,,82,FALSE,FALSE
75. Musketeer,75,4/12/2025,2:40:17 PM,adeyumii,,,Bookstore / First Baptist Church,Brown tabby with small eyes and a saddle on his back. Tom cat cheeks,1/1/2023,Baby daddy behavior,No,,Male,,,8,FALSE,FALSE
76. Eezard,76,2/21/2026,5:26:54 PM,spitonme,,,All over!,Usually a little green feller,5/14/1984,Skitters,We don't do that.,,Boffum,"Lizard, Anole",,21,TRUE,FALSE
77. Ooni,77,2/23/2026,5:15:06 PM,cici4f3,,,Lot 50,Solid gray with an inquisitive look. Yellow eyes,1/1/2023,Unknown,No,,,,,20,TRUE,FALSE
78. Ed Sheeran,78,4/28/2025,3:13:17 PM,wildflower1202,,,Bookstore / First Baptist Church,Bobbie's orange kitten with an interesting face,4/5/2025,Not yet weaned (As of 4/15/2025),No,,Male,,"Bobbie's child, possibly also Glockenspiel's. Adopted",24,FALSE,FALSE
79. Leaflet,79,4/28/2025,3:13:17 PM,wildflower1202,,,Bookstore / First Baptist Church,Bobbie's tortie kitten with an inquisitive look,4/5/2025,Not yet weaned (As of 4/15/2025),No,,Female,,Bobbie's Child. Adopted,11,FALSE,FALSE
80. Atzi,80,3/8/2026,8:42:10 PM,_costco_wholesale_,,,Bookstore / First Baptist Church,Gray tabby with white socks and bottom part of neck,1/1/2021,"Skittish, good mother",Yes,10/15/2025,Female,Christian name Rain,"Meaning ""rain""",67,TRUE,FALSE
81. Ehecatl,81,4/21/2025,5:11:40 PM,wildflower1202,,,Bookstore / First Baptist Church,Gray top white belly and sploches cat,4/8/2025,N/A,No,,,,"Meaning ""wind""",4,FALSE,FALSE
82. Tlatecuini,82,4/21/2025,4:36:11 PM,simplyshadow171295,,,Bookstore / First Baptist Church,Brown tabby,4/8/2025,N/A,No,,,,"Meaning ""thunder""",3,FALSE,FALSE
83. Mixtli,83,4/21/2025,5:11:09 PM,austinbaustinb,,,Bookstore / First Baptist Church,Gray top and white sleeves and nose,4/8/2025,N/A,No,,,,"Meaning ""cloud""",4,FALSE,FALSE
84. Maddox,84,11/5/2025,7:51:16 PM,adeyumii,,,Lot 50,Black and white tuxedo with lots of white on their face,,,No,,,,Possibly travels with Teddy,13,FALSE,FALSE
85. Pallas,85,5/6/2025,8:50:00 PM,austinbaustinb,,,Lot 50,Skinny brown tabby,,,,,,,,9,FALSE,FALSE
86. Honda,86,10/16/2025,9:41:43 PM,racerdg,,,Lot 50,Ash-gray classic tabby,,,,,,,honder,25,FALSE,FALSE
87. Bandit,87,11/10/2025,7:02:34 PM,simplyshadow171295,,,All over!,Raccoon!!! Big ol tail. little procyon hands,1/1/2020,Hungry. Does NOT like to be pet!!!,We don't do that.,,Yep,,,26,FALSE,FALSE
88. Vincente,88,1/3/2026,9:22:43 PM,adeyumii,,,Lot 50,Baby brown tabby,7/1/2025,Just a baby thing,Yes,11/19/2025,Male,,,124,TRUE,FALSE
89. Petal,89,3/17/2026,7:55:15 PM,izzyballz,,,West Campus,"High white calico, longhaired",,Runs (rude),No,,Female,,,46,TRUE,FALSE
90. Chimichanga,90,12/6/2025,6:02:31 PM,wildflower1202,,,West Campus,"Low white black tuxedo, longhaired",,Stares (rude),No,,,,,21,FALSE,FALSE
91. Butter,91,8/22/2025,8:11:42 PM,kitadan,,,"Mary Kay Apartments, Zen Gardens Apartments",Little gray-brown tabby baby,5/1/2025,Shy guy,No,,,,,4,FALSE,FALSE
92. Cloudy,92,10/5/2025,9:48:57 PM,austinbaustinb,,,Bookstore / First Baptist Church,Gray with no white,6/1/2025,Just a baby,No,,,Cirrus,,14,FALSE,FALSE
93. Meatball,93,11/21/2025,1:46:33 PM,adeyumii,,,Bookstore / First Baptist Church,Brown with large white socks and white marking on his lower face,6/1/2025,Scared baby,No,,,Nimbus,Elision/Bobbie child,19,FALSE,FALSE
94. Itztli,94,3/15/2026,6:57:29 PM,wildflower1202,,,Bookstore / First Baptist Church,"Solid black with a thinner coat, bright yellow eyes",2/1/2025,Sleepy but scared kitty. Getting used to people but runs at the slightest shift,No,,Female,Christian name Obsidian,"Name means ""obsidian"". Mother of Hira, Haku, and aago",74,TRUE,FALSE
95. Ariel,95,3/21/2026,10:38:31 AM,austinbaustinb,,,Lot 50,"Gray and white piebald, with a 'goatee' of a dark spot on his chin. He has a unique gray ""island-looking"" splotch on his right shoulder.",4/25/2025,"Just a babby, actively being domesticated",Yes,11/19/2025,Male,,Rubber's baby.,326,TRUE,FALSE
96. Barbie,96,3/22/2026,1:00:37 AM,.bettercalljack,,,West Campus,West campus version of Bobbie. Gray-ish black and orange. Almost identical in terms of rate of pregnancies.,,Pregnant,No,,Female,,,19,TRUE,FALSE
97. Simba,97,3/22/2026,7:33:24 PM,.bettercalljack,,,West Campus,"Light orange tabby, tiny baby",,Runs,No,,,,Likely Barbie child,26,TRUE,FALSE
98. Timon,98,2/28/2026,4:11:21 PM,pandaaaas,,,West Campus,"Medium orange tabby, a bit bigger",,Runs,No,,,,Likely Barbie child,10,TRUE,FALSE
99. Nezhui,99,1/13/2026,2:42:01 PM,wildflower1202,,,Bookstore / First Baptist Church,"Brown tabby kitten. Forehead ""M"" marking looks more like brackets than an M.",7/8/2025,Actively being domesticated,No,,Female,Christian name Skittle,"Name meaning ""my blood"" or ""my kin"". Was found deceased on the morning of 1/13/2026.",181,FALSE,TRUE
100. Coatl,100,3/15/2026,6:38:35 PM,wildflower1202,,,Bookstore / First Baptist Church,Slightly larger and darker brown tabby. Big eyes,7/8/2025,Likes to bite fingers (gently) and stare you down,No,,Male,Christian name Racer,"Name meaning ""snake""",89,TRUE,FALSE
101. Nori,101,12/23/2025,12:21:14 PM,dianaiceflame,,,West Campus,Solid black with light green/yellow eyes. Thickly built,1/1/2023,"Lets people get close, but eventually runs",No,,Female?,,,42,FALSE,FALSE
