[10/30/2025 12:01:57.509 AM] Message  || User: m_digio             || Channel: #report-new-cats                     || Content: <:JSlady:891493520135843890> GAY /silly
[10/30/2025 12:41:02.093 AM] React+   || User: austinbaustinb      || Channel: #yapper-committee                    || emoji=‼️; msg="supporting my people and me" by izzyballz
[10/30/2025 12:41:05.121 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: symbiosis ❤️
[10/30/2025 12:51:47.958 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: the two year geek squad warranty i have on my laptop is about to run...
[10/30/2025 12:51:57.932 AM] Edit     || User: izzyballz           || Channel: #yapper-committee                    || the two year geek squad warranty i have on my laptop is about to run up so i ...
[10/30/2025 12:52:10.754 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[10/30/2025 12:52:10.768 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[10/30/2025 12:52:10.768 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[10/30/2025 12:52:35.024 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: guys the best buy warranty is so worth it if you're ever considering...
[10/30/2025 12:53:18.939 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: we literally do not care just bring it in and say its not working an...
[10/30/2025 12:53:30.079 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: so like endless laptop if you think about it
[10/30/2025 12:56:36.081 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: only problem is i’m highkey attached to this one
[10/30/2025 12:56:45.171 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: that’s my baby..
[10/30/2025 12:59:13.104 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: also really good for gaming controllers
[10/30/2025 12:59:33.040 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: as soon as they start drifting bring it back get a new one
[10/30/2025 01:00:43.715 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[10/30/2025 01:00:43.715 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[10/30/2025 01:00:43.717 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[10/30/2025 01:01:52.712 AM] React+   || User: simplyshadow171295  || Channel: #report-new-cats                     || emoji=😭; msg="I lived through harvey lmao lore drop" by m_digio
[10/30/2025 01:02:04.319 AM] React+   || User: simplyshadow171295  || Channel: #report-new-cats                     || emoji=🔥; msg="Keeping it gay /silly Harvey was also th..." by kitadan
[10/30/2025 01:06:26.648 AM] Message  || User: m_digio             || Channel: #purrley-pawsitive-pussy-pals        || Content: Muscles
[10/30/2025 01:14:22.613 AM] React+   || User: bixzu               || Channel: #report-new-cats                     || emoji=🔥; msg="Keeping it gay /silly Harvey was also th..." by kitadan
[10/30/2025 01:21:05.678 AM] Message  || User: kitadan             || Channel: #bot-spam                            || Content: ||a part of a machine that rotates||
[10/30/2025 01:21:43.252 AM] Message  || User: kitadan             || Channel: #bot-spam                            || Content: Resent with spoiler
[10/30/2025 01:36:52.389 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="Not 4 me they r my greatest opp" by austinbaustinb
[10/30/2025 01:37:27.085 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="we literally do not care just bring it i..." by izzyballz
[10/30/2025 01:37:30.317 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: pinky promise
[10/30/2025 01:38:15.268 AM] Message  || User: spitonme            || Channel: #report-new-cats                     || Content: keeping it gay 😭
[10/30/2025 01:38:24.765 AM] Message  || User: spitonme            || Channel: #report-new-cats                     || Content: oh nice history lesson
[10/30/2025 01:39:02.979 AM] React+   || User: adeyumii            || Channel: #report-new-cats                     || emoji=😭; msg="I lived through harvey lmao lore drop" by m_digio
[10/30/2025 01:39:17.072 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: swear
[10/30/2025 01:40:02.913 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: you will have to rebuy the warranty for the new pc though
[10/30/2025 01:40:07.586 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: unless you have the membership
[10/30/2025 01:40:11.887 AM] Message  || User: spitonme            || Channel: #report-new-cats                     || Content: Arlington is actually trying (delaying their decision) to end anti d...
[10/30/2025 01:40:16.583 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: in which case i think you get 3 warranty claims free
[10/30/2025 01:40:17.464 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="you will have to rebuy the warranty for ..." by izzyballz
[10/30/2025 01:40:33.201 AM] Message  || User: izzyballz           || Channel: #report-new-cats                     || Content: aw cute /sar
[10/30/2025 01:40:44.674 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: i had a warranty on my microsoft surface and my ex broke it like twi...
[10/30/2025 01:41:01.716 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: maybe even thrice, but def twice to the point of getting a new one
[10/30/2025 01:41:10.724 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: did they replace it
[10/30/2025 01:41:14.490 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: or fix
[10/30/2025 01:41:17.094 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: or neither
[10/30/2025 01:41:25.123 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: replaced it
[10/30/2025 01:41:29.400 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: score
[10/30/2025 01:41:29.927 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: this happened in 2 years
[10/30/2025 01:41:33.891 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: wow
[10/30/2025 01:41:36.685 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: yeah
[10/30/2025 01:41:51.468 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: once it was him handing my my backpack
[10/30/2025 01:41:56.802 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: and letting go before i even held it
[10/30/2025 01:42:02.200 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: and we just stared at eachother like
[10/30/2025 01:42:07.980 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: 😐
[10/30/2025 01:42:21.509 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: bc it was the ONLY thing in my bag
[10/30/2025 01:42:29.782 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: the other time he stepped on it
[10/30/2025 01:42:33.533 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: and the last time idek
[10/30/2025 01:42:53.139 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: i can hear the sound it made when it hit the ground clearly
[10/30/2025 01:43:12.037 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: my heart shattering
[10/30/2025 01:43:36.846 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: i have poor history with like keeping electronics well idk
[10/30/2025 01:43:55.225 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: im the reason why everyones insurance is so high im that unlucky
[10/30/2025 01:44:29.185 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: my laptop is in fantastic condition
[10/30/2025 01:45:27.230 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: I got bored and seperated the screencase of my chromebook with a poc...
[10/30/2025 01:45:49.907 AM] Message  || User: kcreepertux04       || Channel: #yapper-committee                    || Content: https://tenor.com/view/why-huh-but-why-gif-13199396
[10/30/2025 01:45:53.796 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: its a chromebook so no harm done really
[10/30/2025 01:45:58.514 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Yeah
[10/30/2025 01:46:05.522 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: i despise chromebooks
[10/30/2025 01:46:26.910 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: everytime someone tries to get a chromebook at work i try to steer t...
[10/30/2025 01:46:31.742 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: I wanted to slide a paper into the screen tint and have like walter ...
[10/30/2025 01:46:39.761 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: no one wants a chromebook
[10/30/2025 01:47:04.665 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: I will upgrade this Christmas
[10/30/2025 01:49:15.364 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: so happy for you
[10/30/2025 01:49:22.724 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: do you know what you're getting
[10/30/2025 01:51:27.447 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Hoping can convince my mom to get dell inspiron plus 7640
[10/30/2025 01:53:51.637 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: I forgot why i decided on that
[10/30/2025 01:55:12.879 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: im gonna have a lenovo yoga until my death probably
[10/30/2025 01:56:58.896 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="no one wants a chromebook" by izzyballz
[10/30/2025 02:08:01.658 AM] Message  || User: emiximez            || Channel: #pictures-of-the-cats                || Content: who is this
[10/30/2025 02:08:02.284 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=1
[10/30/2025 02:08:07.415 AM] Message  || User: emiximez            || Channel: #pictures-of-the-cats                || Content: by engineering
[10/30/2025 02:09:05.072 AM] Message  || User: cici4f3             || Channel: #pictures-of-the-cats                || Content: Mr chunky (I have no idea)
[10/30/2025 02:10:09.965 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:09.997 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:10.046 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:10.046 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:10.094 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:10.094 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:10.159 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:10.159 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:10.207 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:10.207 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:10.255 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:10.255 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:10.303 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:10.303 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:10.774 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/30/2025 02:10:10.822 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:10.876 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:10.996 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.044 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.092 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.141 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.189 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.243 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.245 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[10/30/2025 02:10:11.245 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:11.245 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/30/2025 02:10:11.293 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.337 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.401 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.449 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.480 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.533 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.583 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.623 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.623 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[10/30/2025 02:10:11.623 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:11.623 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/30/2025 02:10:11.671 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.741 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.802 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.848 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.895 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.945 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:11.993 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.042 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.042 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[10/30/2025 02:10:12.042 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:12.057 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/30/2025 02:10:12.105 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.153 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.201 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.249 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.297 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.342 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.474 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.518 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.518 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[10/30/2025 02:10:12.518 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[10/30/2025 02:10:12.518 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[10/30/2025 02:10:12.566 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.609 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.647 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.694 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.775 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.823 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.870 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.920 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[10/30/2025 02:10:12.920 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[10/30/2025 02:10:12.920 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
