[10/08/2025 12:00:39.983 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: what does this have to do with taylor swift
[10/08/2025 03:55:37.490 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[10/08/2025 03:55:37.490 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[10/08/2025 06:00:24.581 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: Bruh who is up rn
[10/08/2025 06:00:48.055 AM] Message  || User: austinbaustinb      || Channel: #thomas-cat-sandbox                  || Content: Tomcat, auth url http://localhost:8765/?state=RXJ2GBYxOlJCYqAZbmk8b4...
[10/08/2025 06:00:48.055 AM] Intent   || gmail_auth_code           ||                                              
[10/08/2025 06:00:48.451 AM] Action   || Name: gmail_auth_complete || Trigger: by=624440365595754496                || Output: ok
[10/08/2025 06:01:14.973 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: Thas me
[10/08/2025 06:01:56.067 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: I figured
[10/08/2025 06:09:10.081 AM] React+   || User: slayc127            || Channel: #feeding-team                        || emoji=❤️; msg="forgot to send earlier but business cats..." by peacetothemoon
[10/08/2025 06:10:59.730 AM] React+   || User: slayc127            || Channel: #pictures-of-the-cats                || emoji=😭; msg="eggs no eraser" by racerdg
[10/08/2025 06:11:07.205 AM] React+   || User: slayc127            || Channel: #pictures-of-the-cats                || emoji=🐙; msg="we saw him earlier" by simplyshadow171295
[10/08/2025 06:11:07.492 AM] React+   || User: slayc127            || Channel: #pictures-of-the-cats                || emoji=🎉; msg="we saw him earlier" by simplyshadow171295
[10/08/2025 06:53:10.202 AM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: I saw him when I was going to kaz's apartment!!!
[10/08/2025 06:53:20.320 AM] Message  || User: adeyumii            || Channel: #yapper-committee                    || Content: He's got like face paint on and stuff
[10/08/2025 06:54:23.014 AM] React+   || User: the.lemonade.stand  || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="chosen families being a thing makes "fam..." by austinbaustinb
[10/08/2025 07:13:18.400 AM] React+   || User: chordicon           || Channel: #pictures-of-the-cats                || emoji=😭; msg="eggs no eraser" by racerdg
[10/08/2025 07:13:31.897 AM] Message  || User: chordicon           || Channel: #pictures-of-the-cats                || Content: (no text; attachments=1)
[10/08/2025 07:13:32.969 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=1
[10/08/2025 07:19:05.700 AM] Message  || User: adeyumii            || Channel: #pictures-of-the-cats                || Content: So dramatic
[10/08/2025 07:35:22.004 AM] Message  || User: the.lemonade.stand  || Channel: #purrley-pawsitive-pussy-pals        || Content: hoping whoever scored the 16 is doing okay
[10/08/2025 07:36:18.595 AM] Message  || User: simplyshadow171295  || Channel: #yapper-committee                    || Content: microwave mentioned on the UTA admissions insta this morning
[10/08/2025 07:38:00.630 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="hoping whoever scored the 16 is doing ok..." by the.lemonade.stand
[10/08/2025 07:55:38.260 AM] Action   || Name: gmail_log_scheduler || Trigger: found=1                              || Output: logged=1
[10/08/2025 07:55:38.549 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Sophia Herrera $6.00 on 2025-08-26
[10/08/2025 07:55:38.551 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jordin Baylee $5.00 on 2025-08-26
[10/08/2025 07:55:38.551 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Axel Torres $24.25 on 2025-08-22
[10/08/2025 07:55:38.553 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Megan Digiovanni $47.62 on 2025-08-26
[10/08/2025 07:55:38.553 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: M. Padron $20.00 on 2025-08-26
[10/08/2025 07:55:38.555 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Sophia Herrera $6.00 on 2025-08-26
[10/08/2025 07:55:38.555 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Addison Loera $8.00 on 2025-08-26
[10/08/2025 07:55:38.557 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Amber Thomas $5.00 on 2025-08-26
[10/08/2025 07:55:38.557 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jordin Baylee $5.00 on 2025-08-26
[10/08/2025 07:55:38.559 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Kathleen Cantu $1.00 on 2025-08-26
[10/08/2025 07:55:38.559 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Amber Thomas $3.00 on 2025-08-26
[10/08/2025 07:55:38.561 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Rob Jimenez $3.00 on 2025-08-26
[10/08/2025 07:55:38.561 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Daniel Brantley $3.00 on 2025-08-26
[10/08/2025 07:55:38.563 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Isabella Klein $9.70 on 2025-08-26
[10/08/2025 07:55:38.563 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Wix $25.98 on 2025-08-26
[10/08/2025 07:55:38.565 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Nelda Hernandez $2.00 on 2025-08-26
[10/08/2025 07:55:38.565 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Troy Broome $1.00 on 2025-08-26
[10/08/2025 07:55:38.567 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Div Bits $2.00 on 2025-08-26
[10/08/2025 07:55:38.567 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jacob Sandoval $1.00 on 2025-08-26
[10/08/2025 07:55:38.569 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Aubrey Cunningham $10.00 on 2025-08-26
[10/08/2025 07:55:38.569 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Maxwell Preston $5.00 on 2025-08-26
[10/08/2025 07:55:38.569 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Sophia Herrera $6.00 on 2025-08-26
[10/08/2025 07:55:38.571 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Derek Fuentes $25.98 on 2025-08-26
[10/08/2025 07:55:38.571 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Miguel V $5.00 on 2025-08-26
[10/08/2025 07:55:38.573 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Nelda Hernandez $3.00 on 2025-08-26
[10/08/2025 07:55:38.573 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Megan Digiovanni $130.00 on 2025-08-26
[10/08/2025 07:55:38.575 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Pedro Savala $5.00 on 2025-08-27
[10/08/2025 07:55:38.575 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Jonathan Mcgeever $5.00 on 2025-08-27
[10/08/2025 07:55:38.577 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: NNT PETSMART # $32.46 on 2025-08-06
[10/08/2025 07:55:38.577 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Py Store Here Pantego $54.00 on 2025-08-20
[10/08/2025 07:55:38.579 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: Megan Digiovanni $74.92 on 2025-07-30
[10/08/2025 07:55:38.579 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: TOMAHAWK LIVE TRAP $581.62 on 2025-05-12
[10/08/2025 07:55:38.581 AM] Action   || Name: finance_skip_dup... || Trigger: buffer                               || Output: TOMAHAWK LIVE TRAP $581.62 on 2025-05-12
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Cynthia griffith $10.00 on 2025-04-16
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Caleb Moran $4.00 on 2025-04-16
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Alberto $6.00 on 2025-04-16
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jacob Sandoval $2.91 on 2025-04-16
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: tay $5.00 on 2025-04-16
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Nelda Hernandez $2.00 on 2025-04-16
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Maria Olds $10.00 on 2025-04-16
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Mario Rodriguez $3.00 on 2025-04-16
[10/08/2025 07:55:41.306 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Elisha Taylor $5.00 on 2025-04-16
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jacob Sandoval $3.00 on 2025-04-16
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Isabella Klein $9.70 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Nelda Hernandez $2.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Troy Broome $1.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Div Bits $2.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jacob Sandoval $1.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Aubrey Cunningham $10.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Maxwell Preston $5.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Sophia Herrera $6.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Miguel V $5.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Nelda Hernandez $3.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Megan Digiovanni $130.00 on 2025-08-26
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Pedro Savala $5.00 on 2025-08-27
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jonathan Mcgeever $5.00 on 2025-08-27
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Axel Torres $24.25 on 2025-08-22
[10/08/2025 07:55:41.319 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: M. Padron $20.00 on 2025-08-26
[10/08/2025 07:55:41.335 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Addison Loera $8.00 on 2025-08-26
[10/08/2025 07:55:41.335 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Amber Thomas $5.00 on 2025-08-26
[10/08/2025 07:55:41.335 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Kathleen Cantu $1.00 on 2025-08-26
[10/08/2025 07:55:41.335 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Amber Thomas $3.00 on 2025-08-26
[10/08/2025 07:55:41.335 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Rob Jimenez $3.00 on 2025-08-26
[10/08/2025 07:55:41.335 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Daniel Brantley $3.00 on 2025-08-26
[10/08/2025 07:55:41.335 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Kylie Crook $5.00 on 2025-09-16
[10/08/2025 07:55:41.335 AM] Action   || Name: finance_skip_dup... || Trigger: kind=income                          || Output: Jenny Nguyen $9.70 on 2025-09-03
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Py Store Here Pantego $54.00 on 2025-04-20
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: j s $11.68 on 2025-04-22
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Wix $25.98 on 2025-04-26
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Wix $25.98 on 2025-08-26
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Derek Fuentes $25.98 on 2025-08-26
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Py Store Here Pantego $54.00 on 2025-08-20
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Megan Digiovanni $47.62 on 2025-08-26
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: NNT PETSMART # $32.46 on 2025-08-06
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Megan Digiovanni $74.92 on 2025-07-30
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: TOMAHAWK LIVE TRAP $581.62 on 2025-05-11
[10/08/2025 07:55:43.030 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Py Store Here Pantego $54.00 on 2025-05-20
[10/08/2025 07:55:43.046 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Derek Fuentes $72.45 on 2025-05-23
[10/08/2025 07:55:43.046 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Wix $25.98 on 2025-05-26
[10/08/2025 07:55:43.046 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Megan Digiovanni $89.91 on 2025-10-05
[10/08/2025 07:55:43.046 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: DOMINO'S $60.57 on 2025-09-09
[10/08/2025 07:55:43.046 AM] Action   || Name: finance_skip_dup... || Trigger: kind=expense                         || Output: Derek Fuentes $20.00 on 2025-09-10
[10/08/2025 07:57:01.360 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: Probably happy they didn’t get a 0 lowkey
[10/08/2025 07:57:03.984 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: I’ve been there
[10/08/2025 08:11:38.549 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="Probably happy they didn’t get a 0 lowke..." by austinbaustinb
[10/08/2025 08:17:21.408 AM] React+   || User: moineau_l.oiseau    || Channel: #executive-board                     || emoji=<:nothingburger:1412527689155350538>; msg=1425221259427315814
[10/08/2025 08:17:22.020 AM] React+   || User: moineau_l.oiseau    || Channel: #executive-board                     || emoji=😭; msg=1425221259427315814
[10/08/2025 08:17:30.733 AM] React+   || User: moineau_l.oiseau    || Channel: #executive-board                     || emoji=😭; msg="oh my god my head phones were on, HOLLON..." by celeryiscelery
[10/08/2025 08:17:38.006 AM] React+   || User: moineau_l.oiseau    || Channel: #executive-board                     || emoji=❤️; msg=1425222517072597013
[10/08/2025 08:18:48.108 AM] React+   || User: moineau_l.oiseau    || Channel: #executive-board                     || emoji=👍; msg="also officer form is almost ready for yo..." by celeryiscelery
[10/08/2025 08:19:04.651 AM] React+   || User: moineau_l.oiseau    || Channel: #executive-board                     || emoji=🎉; msg="here’s the room layout for the tables<:g..." by celeryiscelery
[10/08/2025 08:22:39.258 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="hoping whoever scored the 16 is doing ok..." by the.lemonade.stand
[10/08/2025 08:23:53.378 AM] Message  || User: slayc127            || Channel: #pictures-of-the-cats                || Content: GUESS WHO GOT TO SEE MS DIVA
[10/08/2025 08:23:54.531 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=5
[10/08/2025 08:24:05.641 AM] Message  || User: slayc127            || Channel: #pictures-of-the-cats                || Content: I AM SO HAPPY RN
[10/08/2025 08:24:10.767 AM] Message  || User: slayc127            || Channel: #pictures-of-the-cats                || Content: TODAY IS GONNA BE SUCHHHH A GOOD DAY
[10/08/2025 08:24:38.898 AM] Message  || User: slayc127            || Channel: #pictures-of-the-cats                || Content: SHE DOESNT EVEN KNOW HER PICTURE IS IN THE BACK OF MY PHONE CASE 😭😭😭😭😭😭
[10/08/2025 08:25:00.760 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: HAPPY DAY FOR KAZIUS
[10/08/2025 08:27:20.665 AM] React+   || User: moineau_l.oiseau    || Channel: #feeding-team                        || emoji=❤️; msg="forgot to send earlier but business cats..." by peacetothemoon
[10/08/2025 08:28:47.134 AM] React+   || User: moineau_l.oiseau    || Channel: #cat-name-ideas                      || emoji=🔥; msg="Chat have I said Scarfelius yet? Pronoun..." by reyesthighs
[10/08/2025 08:29:00.081 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=❤️; msg="maya is slow blinking at us" by simplyshadow171295
[10/08/2025 08:29:06.854 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=🤣; msg="bewildered" by simplyshadow171295
[10/08/2025 08:29:07.629 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=❤️; msg="bewildered" by simplyshadow171295
[10/08/2025 08:29:12.549 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=🎉; msg=1425281187806445568
[10/08/2025 08:29:38.350 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=😭; msg="eggs no eraser" by racerdg
[10/08/2025 08:29:42.632 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=🤣; msg="Hes sleeping on the couch" by .bettercalljack
[10/08/2025 08:29:47.785 AM] Message  || User: yaeji               || Channel: #pet-pictures                        || Content: randy orton is in acacia's garage
[10/08/2025 08:29:50.781 AM] Message  || User: yaeji               || Channel: #pet-pictures                        || Content: say hi
[10/08/2025 08:29:51.789 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=🎉; msg="we saw him earlier" by simplyshadow171295
[10/08/2025 08:29:59.542 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=‼️; msg="So dramatic" by adeyumii
[10/08/2025 08:30:07.038 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=<:happycat:834819172546510868>; msg="GUESS WHO GOT TO SEE MS DIVA" by s...
[10/08/2025 08:30:09.182 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=🎉; msg="GUESS WHO GOT TO SEE MS DIVA" by slayc127
[10/08/2025 08:30:19.546 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=🤣; msg="SHE DOESNT EVEN KNOW HER PICTURE IS IN T..." by slayc127
[10/08/2025 08:30:58.272 AM] React+   || User: moineau_l.oiseau    || Channel: #memes                               || emoji=❤️; msg="https://www.tiktok.com/t/ZP8Ahne7F/" by spitonme
[10/08/2025 08:31:22.626 AM] React+   || User: moineau_l.oiseau    || Channel: #memes                               || emoji=🤣; msg="https://youtube.com/shorts/VgRreCXplbM?s..." by racerdg
[10/08/2025 08:31:23.779 AM] React-   || User: unknown             || Channel: #memes                               || emoji=🤣; msg="https://youtube.com/shorts/VgRreCXplbM?s..." by racerdg
[10/08/2025 08:31:27.375 AM] React+   || User: moineau_l.oiseau    || Channel: #memes                               || emoji=<:stare:949790850039304233>; msg="https://youtube.com/shorts/VgRreCXplb...
[10/08/2025 08:31:34.796 AM] React+   || User: moineau_l.oiseau    || Channel: #memes                               || emoji=🤣; msg="https://youtube.com/shorts/VgRreCXplbM?s..." by racerdg
[10/08/2025 08:31:38.866 AM] React+   || User: moineau_l.oiseau    || Channel: #memes                               || emoji=✨; msg="https://youtube.com/shorts/VgRreCXplbM?s..." by racerdg
[10/08/2025 08:33:19.350 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=🤣; msg="He is not happy I woke him up" by austinbaustinb
[10/08/2025 08:33:49.245 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=🅱️; msg="Bruh canvas is mocking me <:JScat:891493..." by lilypie2904
[10/08/2025 08:33:49.578 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=🅰️; msg="Bruh canvas is mocking me <:JScat:891493..." by lilypie2904
[10/08/2025 08:33:49.889 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=🇩; msg="Bruh canvas is mocking me <:JScat:891493..." by lilypie2904
[10/08/2025 08:33:53.372 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=😔; msg="Bruh canvas is mocking me <:JScat:891493..." by lilypie2904
[10/08/2025 08:35:34.710 AM] React+   || User: kitadan             || Channel: #pictures-of-the-cats                || emoji=🎉; msg="GUESS WHO GOT TO SEE MS DIVA" by slayc127
