[10/03/2025 12:04:02.209 AM] React+   || User: coziidruid          || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg="Ya" by austinbaustinb
[10/03/2025 03:00:00.304 AM] Action   || Name: dues_membership_... || Trigger: sheet=1PBvCd6gTwc1_aqlCtn93xPW7XJ... || Output: ws=Membership Application List
[10/03/2025 03:00:03.524 AM] Action   || Name: dues_membership_... || Trigger: row=2                                || Output: Date|Mavorgs Invite|Semester|Email|Full Name|Discord Username|Payment...
[10/03/2025 03:00:03.528 AM] Action   || Name: dues_membership_... || Trigger: total=1002                           || Output: usable=858
[10/03/2025 03:00:03.609 AM] Action   || Name: dues_scheduler      || Trigger: count=4                              || Output: done
[10/03/2025 03:07:36.345 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: something about using chegg for an answer and its very obvious that ...
[10/03/2025 07:24:05.292 AM] React+   || User: adeyumii            || Channel: #itty-bitty-kitty-commitee           || emoji=😭; msg="He walked into the carrier" by austinbaustinb
[10/03/2025 08:12:23.481 AM] Message  || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || Content: (no text; attachments=2)
[10/03/2025 08:12:24.420 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=2
[10/03/2025 08:12:43.883 AM] Message  || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || Content: (no text; attachments=1)
[10/03/2025 08:12:44.627 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=1
[10/03/2025 08:48:44.140 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="something about using chegg for an answe..." by a1darek
[10/03/2025 08:49:56.617 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: guess who snapped their glasses
[10/03/2025 08:50:11.056 AM] Message  || User: bubblebee5866       || Channel: #pictures-of-the-cats                || Content: Glamor shots~
[10/03/2025 08:57:54.542 AM] Message  || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || Content: (no text; attachments=2)
[10/03/2025 08:57:56.187 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=2
[10/03/2025 09:00:58.849 AM] Message  || User: lazziegh            || Channel: #report-new-cats                     || Content: I saw them by the FA Building walking to class this morning .3.
[10/03/2025 09:00:59.562 AM] Action   || Name: image_intake        || Trigger: channel=639882573199441930           || Output: rows=1
[10/03/2025 09:02:58.551 AM] Message  || User: m_digio             || Channel: #executive-board                     || Content: Okay @Derek [TNR] youre still good to set up?
[10/03/2025 09:03:11.565 AM] Message  || User: m_digio             || Channel: #executive-board                     || Content: I can table the whole time, we can sell buttons
[10/03/2025 09:03:24.900 AM] Message  || User: m_digio             || Channel: #report-new-cats                     || Content: Barbie me thinks?
[10/03/2025 09:03:35.326 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=😭; msg="oh this is crazy" by izzyballz
[10/03/2025 09:03:35.552 AM] Message  || User: m_digio             || Channel: #executive-board                     || Content: We agreed on 3$?
[10/03/2025 09:03:41.957 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=😭; msg="he did not get up actually maybe the bul..." by izzyballz
[10/03/2025 09:04:01.778 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=❤️; msg="COBA kitties" by thedan5000
[10/03/2025 09:04:12.948 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=‼️; msg="I love how plush eggs is" by adeyumii
[10/03/2025 09:05:00.614 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=🤣; msg="bruh she is freaking chonky wtf" by slayc127
[10/03/2025 09:05:21.643 AM] React+   || User: moineau_l.oiseau    || Channel: #pictures-of-the-cats                || emoji=😭; msg="i think hes sleeping with his eyes open ..." by racerdg
[10/03/2025 09:06:41.879 AM] Message  || User: moineau_l.oiseau    || Channel: #report-new-cats                     || Content: Oh yeah, I forgot she was over there :0
[10/03/2025 09:07:48.379 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=🎉; msg="This is a cat that has seen the benefits..." by austinbaustinb
[10/03/2025 09:08:12.008 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=😭; msg="He walked into the carrier" by austinbaustinb
[10/03/2025 09:08:15.449 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=🤣; msg="He walked into the carrier" by austinbaustinb
[10/03/2025 09:08:16.369 AM] React-   || User: unknown             || Channel: #itty-bitty-kitty-commitee           || emoji=😭; msg="He walked into the carrier" by austinbaustinb
[10/03/2025 09:08:46.425 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=👍; msg="Sounds like he really was wanting a home" by void_now
[10/03/2025 09:08:48.731 AM] React+   || User: moineau_l.oiseau    || Channel: #itty-bitty-kitty-commitee           || emoji=❤️; msg="Anyways he’s beneath the bed now though ..." by austinbaustinb
[10/03/2025 09:09:26.949 AM] React+   || User: moineau_l.oiseau    || Channel: #pet-pictures                        || emoji=🤣; msg=1423509918346117152
[10/03/2025 09:10:01.547 AM] Message  || User: moineau_l.oiseau    || Channel: #pet-pictures                        || Content: These cryptid photos 🤣
I got one of Chiquito yesterday that had me w...
[10/03/2025 09:11:47.772 AM] React+   || User: m_digio             || Channel: #pet-pictures                        || emoji=😭; msg="These cryptid photos 🤣
I got one of Chiq..." by moineau_l.oiseau
[10/03/2025 09:12:07.424 AM] Message  || User: m_digio             || Channel: #report-new-cats                     || Content: Barbie has those big ol eyes
[10/03/2025 09:13:36.360 AM] React+   || User: moineau_l.oiseau    || Channel: #report-new-cats                     || emoji=‼️; msg="Barbie has those big ol eyes" by m_digio
[10/03/2025 09:13:59.354 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=🎉; msg="And was making biscuits on our carpet" by austinbaustinb
[10/03/2025 09:14:02.323 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg=1423495595578097754
[10/03/2025 09:14:15.764 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="yall r so sweet" by slayc127
[10/03/2025 09:14:24.815 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="killing her right now." by slayc127
[10/03/2025 09:14:38.338 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg="No fleas on flea comb at all" by austinbaustinb
[10/03/2025 09:14:44.804 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg="And we were able to like “baby wipe bath..." by austinbaustinb
[10/03/2025 09:14:46.366 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=✨; msg="So no “bath” but like hopefully de-dirte..." by austinbaustinb
[10/03/2025 09:14:50.441 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="yay toothless!!!" by coziidruid
[10/03/2025 09:15:00.667 AM] React+   || User: moineau_l.oiseau    || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="something about using chegg for an answe..." by a1darek
[10/03/2025 09:15:19.722 AM] React+   || User: moineau_l.oiseau    || Channel: #feeding-team                        || emoji=😭; msg=1423459119377023067
[10/03/2025 09:15:55.769 AM] React+   || User: moineau_l.oiseau    || Channel: #feeding-team                        || emoji=😭; msg="I have my guard dog, Ben, to keep me saf..." by adeyumii
[10/03/2025 09:16:01.645 AM] React+   || User: moineau_l.oiseau    || Channel: #feeding-team                        || emoji=🤣; msg="exxxxxxxcuse you" by void_now
[10/03/2025 09:19:35.698 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: mav movers vs actually waiting at their stops
[10/03/2025 09:19:36.632 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: jfc
[10/03/2025 09:20:03.838 AM] React+   || User: slayc127            || Channel: #pet-pictures                        || emoji=😭; msg="These cryptid photos 🤣
I got one of Chiq..." by moineau_l.oiseau
[10/03/2025 09:20:08.318 AM] React+   || User: slayc127            || Channel: #report-new-cats                     || emoji=‼️; msg="Barbie has those big ol eyes" by m_digio
[10/03/2025 09:20:50.219 AM] React+   || User: simplyshadow171295  || Channel: #pet-pictures                        || emoji=😭; msg="These cryptid photos 🤣
I got one of Chiq..." by moineau_l.oiseau
[10/03/2025 09:20:52.913 AM] React+   || User: simplyshadow171295  || Channel: #pet-pictures                        || emoji=🤣; msg=1423509918346117152
[10/03/2025 09:21:13.071 AM] Message  || User: simplyshadow171295  || Channel: #report-new-cats                     || Content: barbie :3
[10/03/2025 09:21:28.237 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="mav movers vs actually waiting at their ..." by slayc127
[10/03/2025 09:36:15.747 AM] Message  || User: lance030315         || Channel: #pictures-of-the-cats                || Content: Why did the Coba cats decide that microwave’s physique was peak
[10/03/2025 09:41:35.761 AM] Message  || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || Content: don’t forget to fill out ur fafsa forms‼️‼️
[10/03/2025 09:42:39.045 AM] Message  || User: bubblebee5866       || Channel: #pictures-of-the-cats                || Content: I think someone's probably been feeding the coba cats on top of us
[10/03/2025 09:45:07.400 AM] Message  || User: slayc127            || Channel: #pictures-of-the-cats                || Content: (no text; attachments=5)
[10/03/2025 09:45:08.402 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=5
[10/03/2025 09:45:08.418 AM] Message  || User: slayc127            || Channel: #pictures-of-the-cats                || Content: always
[10/03/2025 09:47:06.387 AM] Message  || User: slayc127            || Channel: #pictures-of-the-cats                || Content: michaelwave bite of anguish and despair
[10/03/2025 09:47:07.285 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=1
[10/03/2025 09:48:24.117 AM] React+   || User: yaeji               || Channel: #yapper-committee                    || emoji=⁉️; msg="“i can make deals with the devil cuz my ..." by kcreepertux04
[10/03/2025 09:54:03.215 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="don’t forget to fill out ur fafsa forms‼..." by nostalgicsapphic
[10/03/2025 09:54:07.439 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: dodie new album mid
[10/03/2025 09:54:08.733 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: sighs
[10/03/2025 09:54:25.976 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: isnt as bad as the new ts album.....ive heard two snippets and my god
[10/03/2025 09:59:03.964 AM] Message  || User: spitonme            || Channel: #pictures-of-the-cats                || Content: eggs is being very brave rn
[10/03/2025 09:59:12.777 AM] React+   || User: simplyshadow171295  || Channel: #pictures-of-the-cats                || emoji=‼️; msg="I think someone's probably been feeding ..." by bubblebee5866
[10/03/2025 10:00:26.733 AM] Message  || User: spitonme            || Channel: #pictures-of-the-cats                || Content: (no text; attachments=2)
[10/03/2025 10:00:27.713 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=2
[10/03/2025 10:00:27.991 AM] Message  || User: spitonme            || Channel: #pictures-of-the-cats                || Content: there is someone sitting on the bench right next to the one she’s at
[10/03/2025 10:00:28.797 AM] Message  || User: spitonme            || Channel: #pictures-of-the-cats                || Content: yeah, some faculty decide to feed coba if its before 5pm and theres ...
[10/03/2025 10:00:28.817 AM] Intent   || feed_update               ||                                               || station=Business; dates=['2025-10-03']
[10/03/2025 10:00:28.817 AM] Action   || Name: feed_update_ignored || Trigger: station=Business                     || Output: channel_blocked:551084964318543904
[10/03/2025 10:00:29.773 AM] Message  || User: spitonme            || Channel: #pictures-of-the-cats                || Content: (no text; attachments=1)
[10/03/2025 10:00:30.470 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=1
[10/03/2025 10:00:34.679 AM] Message  || User: spitonme            || Channel: #pictures-of-the-cats                || Content: eggs and eraser love them and will let themselves be pet
[10/03/2025 10:01:28.272 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: I feel like a snotty baby rn my allergies are acting up after helpin...
[10/03/2025 10:01:46.141 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: And i cant skip bc of the attendance policies
[10/03/2025 10:02:28.714 AM] Message  || User: spitonme            || Channel: #pictures-of-the-cats                || Content: (no text; attachments=1)
[10/03/2025 10:02:45.330 AM] Message  || User: spitonme            || Channel: #pictures-of-the-cats                || Content: something ran up the tree right before this video
[10/03/2025 10:04:05.986 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: oh i forgot u were selling them
[10/03/2025 10:04:06.286 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: silly me
[10/03/2025 10:04:41.982 AM] React+   || User: spitonme            || Channel: #pet-pictures                        || emoji=🐙; msg="Rate the dinner" by mochenoch
[10/03/2025 10:04:46.855 AM] Message  || User: spitonme            || Channel: #pet-pictures                        || Content: oh my
[10/03/2025 10:05:09.332 AM] React+   || User: spitonme            || Channel: #itty-bitty-kitty-commitee           || emoji=👍; msg="Sounds like he really was wanting a home" by void_now
[10/03/2025 10:08:13.015 AM] React+   || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || emoji=‼️; msg="I think someone's probably been feeding ..." by bubblebee5866
[10/03/2025 10:08:39.844 AM] Message  || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || Content: (no text; attachments=3)
[10/03/2025 10:08:40.703 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=3
[10/03/2025 10:08:53.901 AM] Message  || User: not_d3fault_1420    || Channel: #pictures-of-the-cats                || Content: (no text; attachments=1)
[10/03/2025 10:08:54.703 AM] Action   || Name: image_intake        || Trigger: channel=551084964318543904           || Output: rows=1
[10/03/2025 10:09:00.365 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=😆; msg="isnt as bad as the new ts album.....ive ..." by slayc127
[10/03/2025 10:09:47.225 AM] Message  || User: not_d3fault_1420    || Channel: #pet-pictures                        || Content: the void demands something
[10/03/2025 10:09:50.552 AM] Message  || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || Content: dont mention that shit around me dog i genuinely think people r delu...
[10/03/2025 10:09:56.717 AM] Message  || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || Content: /lh
[10/03/2025 10:10:20.660 AM] Message  || User: not_d3fault_1420    || Channel: #bot-spam                            || Content: tomcat show me eraser
[10/03/2025 10:10:20.661 AM] Intent   || show_photo                ||                                               || cat=Eraser
[10/03/2025 10:10:24.489 AM] Action   || Name: show_cache_downl... || Trigger: https://drive.google.com/uc?expor... || Output: sn=5747 attempt=1 size=695730
[10/03/2025 10:18:56.230 AM] React+   || User: moineau_l.oiseau    || Channel: #pet-pictures                        || emoji=‼️; msg="the void demands something" by not_d3fault_1420
[10/03/2025 10:19:44.243 AM] Message  || User: m_digio             || Channel: #announcements                       || Content: @​everyone UTA Radio is hosting ROCKTOBER and we're invited! We will...
[10/03/2025 10:20:01.267 AM] React+   || User: simplyshadow171295  || Channel: #announcements                       || emoji=‼️; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:04.405 AM] React+   || User: toast1nos           || Channel: #announcements                       || emoji=‼️; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:05.202 AM] React+   || User: simplyshadow171295  || Channel: #announcements                       || emoji=<:balloonboi:933099871257382983>; msg="@​everyone UTA Radio is hosting ...
[10/03/2025 10:20:06.090 AM] React+   || User: spitonme            || Channel: #announcements                       || emoji=‼️; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:07.356 AM] React+   || User: simplyshadow171295  || Channel: #announcements                       || emoji=<:happycat:834819172546510868>; msg="@​everyone UTA Radio is hosting RO...
[10/03/2025 10:20:10.265 AM] React+   || User: izzyballz           || Channel: #announcements                       || emoji=‼️; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:11.064 AM] React+   || User: izzyballz           || Channel: #announcements                       || emoji=<:balloonboi:933099871257382983>; msg="@​everyone UTA Radio is hosting ...
[10/03/2025 10:20:11.670 AM] React+   || User: izzyballz           || Channel: #announcements                       || emoji=<:happycat:834819172546510868>; msg="@​everyone UTA Radio is hosting RO...
[10/03/2025 10:20:15.979 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=‼️; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:16.156 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=<:balloonboi:933099871257382983>; msg="@​everyone UTA Radio is hosting ...
[10/03/2025 10:20:18.835 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=<:happycat:834819172546510868>; msg="@​everyone UTA Radio is hosting RO...
[10/03/2025 10:20:18.983 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=<:cute:933104767348134018>; msg="@​everyone UTA Radio is hosting ROCKTO...
[10/03/2025 10:20:21.015 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=🎉; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:23.403 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=🔥; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:28.052 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=<:ree:813284570161086465>; msg="@​everyone UTA Radio is hosting ROCKTOB...
[10/03/2025 10:20:30.389 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=👆; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:33.056 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=<:gitir2:1146680302878605332>; msg="@​everyone UTA Radio is hosting ROC...
[10/03/2025 10:20:36.170 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=🔥; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:46.152 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=‼️; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:46.626 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=<:balloonboi:933099871257382983>; msg="@​everyone UTA Radio is hosting ...
[10/03/2025 10:20:46.915 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=<:happycat:834819172546510868>; msg="@​everyone UTA Radio is hosting RO...
[10/03/2025 10:20:47.481 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=<:cute:933104767348134018>; msg="@​everyone UTA Radio is hosting ROCKTO...
[10/03/2025 10:20:47.692 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=🎉; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:48.467 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=<:ree:813284570161086465>; msg="@​everyone UTA Radio is hosting ROCKTOB...
[10/03/2025 10:20:53.133 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=👆; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:20:53.360 AM] React+   || User: reyesthighs         || Channel: #announcements                       || emoji=<:gitir2:1146680302878605332>; msg="@​everyone UTA Radio is hosting ROC...
[10/03/2025 10:21:09.356 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=<:catthumbsup:931115163317329920>; msg="@​everyone UTA Radio is hosting...
[10/03/2025 10:21:15.298 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=💖; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:21:26.483 AM] React+   || User: moineau_l.oiseau    || Channel: #announcements                       || emoji=<:powaahhhhhhh:1284949152685490216>; msg="@​everyone UTA Radio is hosti...
[10/03/2025 10:21:29.821 AM] React+   || User: .bettercalljack     || Channel: #announcements                       || emoji=‼️; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
[10/03/2025 10:21:30.214 AM] React+   || User: .bettercalljack     || Channel: #announcements                       || emoji=<:balloonboi:933099871257382983>; msg="@​everyone UTA Radio is hosting ...
[10/03/2025 10:22:06.344 AM] Roles    || User: tmnt_fanatic        || Guild: Campus Cat Coalition                   || added=['Server Booster']; removed=[]
[10/03/2025 10:22:06.646 AM] Message  || User: tmnt_fanatic        || Channel: #new-arrivals                        || Content: (no text; attachments=0)
[10/03/2025 10:22:12.023 AM] Message  || User: tmnt_fanatic        || Channel: #new-arrivals                        || Content: (no text; attachments=0)
[10/03/2025 10:23:21.330 AM] React+   || User: _costco_wholesale_  || Channel: #pictures-of-the-cats                || emoji=<:cute:933104767348134018>; msg=1423658950561234964
[10/03/2025 10:24:23.837 AM] React+   || User: not_d3fault_1420    || Channel: #announcements                       || emoji=<:macrowave:857753712591634442>; msg="@​everyone UTA Radio is hosting R...
[10/03/2025 10:25:39.797 AM] React+   || User: the_frog.sorcerer   || Channel: #announcements                       || emoji=<:ree:813284570161086465>; msg="@​everyone UTA Radio is hosting ROCKTOB...
[10/03/2025 10:29:55.743 AM] React+   || User: kitadan             || Channel: #announcements                       || emoji=‼️; msg="@​everyone UTA Radio is hosting ROCKTOBE..." by m_digio
