[09/28/2025 12:00:55.112 AM] React+   || User: .s3j                || Channel: #external-adoption-ads               || emoji=🎉; msg="update; i was lucky and Texas Pawprints ..." by figgybeans
[09/28/2025 02:10:05.627 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[09/28/2025 02:10:06.518 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[09/28/2025 02:10:07.377 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[09/28/2025 02:10:08.131 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[09/28/2025 02:10:08.908 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: 404 Not Found (error code: 10008): Unknown Message
[09/28/2025 02:10:10.109 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: 404 Not Found (error code: 10008): Unknown Message
[09/28/2025 02:10:10.110 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[09/28/2025 02:10:10.111 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[09/28/2025 02:35:38.501 AM] Message  || User: pancakemixteamdj    || Channel: #yapper-committee                    || Content: https://tenor.com/view/rage-angry-mad-cat-meme-cat-meme-angry-gif-86...
[09/28/2025 02:46:00.032 AM] React+   || User: kitadan             || Channel: #report-new-cats                     || emoji=👍; msg="huge feral population that’s mostly unco..." by simplyshadow171295
[09/28/2025 02:49:59.064 AM] Message  || User: kitadan             || Channel: #report-new-cats                     || Content: Ms Sienna is now being taken care of.  I assume trash can and dumpst...
[09/28/2025 02:50:16.238 AM] React+   || User: kitadan             || Channel: #pictures-of-the-cats                || emoji=👍; msg="technically we aren’t meant to give out ..." by simplyshadow171295
[09/28/2025 02:51:43.726 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: Allergy medicine.  You're having an allergic reaction to something.
[09/28/2025 03:00:00.487 AM] Action   || Name: dues_membership_... || Trigger: sheet=1PBvCd6gTwc1_aqlCtn93xPW7XJ... || Output: ws=Membership Application List
[09/28/2025 03:00:03.621 AM] Action   || Name: dues_membership_... || Trigger: row=2                                || Output: Date|Mavorgs Invite|Semester|Email|Full Name|Discord Username|Payment...
[09/28/2025 03:00:03.623 AM] Action   || Name: dues_membership_... || Trigger: total=1002                           || Output: usable=858
[09/28/2025 03:00:03.667 AM] Action   || Name: dues_scheduler      || Trigger: count=4                              || Output: done
[09/28/2025 06:18:20.126 AM] Join     || User: smithsuzan (1420... || Guild: Campus Cat Coalition                   || age_days=3; invite=rAEFDeT
[09/28/2025 06:18:27.596 AM] React+   || User: smithsuzan          || Channel: #announcements                       || emoji=<:catcry2:1173017916887814245>; msg="@​everyone we r going to be quiet ...
[09/28/2025 06:18:31.628 AM] React+   || User: smithsuzan          || Channel: #announcements                       || emoji=<:macrowave:857753712591634442>; msg="@​everyone we r going to be quiet...
[09/28/2025 06:18:33.064 AM] React+   || User: smithsuzan          || Channel: #announcements                       || emoji=❤️; msg="@​everyone our social tonight is well un..." by slayc127
[09/28/2025 06:18:33.689 AM] React+   || User: smithsuzan          || Channel: #announcements                       || emoji=<:cute:933104767348134018>; msg="@​everyone our social tonight is well ...
[09/28/2025 06:18:34.852 AM] React+   || User: smithsuzan          || Channel: #announcements                       || emoji=😭; msg="new sticker /hj" by m_digio
[09/28/2025 06:18:36.760 AM] React+   || User: smithsuzan          || Channel: #announcements                       || emoji=<:macrowave:857753712591634442>; msg="@​everyone ***social tonight at 3...
[09/28/2025 06:18:39.283 AM] React+   || User: smithsuzan          || Channel: #announcements                       || emoji=🐙; msg="@​everyone If you signed up for the feed..." by m_digio
[09/28/2025 06:18:44.955 AM] React+   || User: smithsuzan          || Channel: #introductions                       || emoji=❤️; msg="https://tenor.com/view/goku-prowler-goku..." by _rambone_
[09/28/2025 06:18:47.050 AM] React+   || User: smithsuzan          || Channel: #introductions                       || emoji=<:gitir2:1146680302878605332>; msg="nothing wrong w questions <:gitir2:...
[09/28/2025 06:18:48.134 AM] React+   || User: smithsuzan          || Channel: #introductions                       || emoji=🙏; msg="We typically dont take any bottle babies..." by m_digio
[09/28/2025 07:09:40.569 AM] Message  || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || Content: forced to go to Starbucks 💔💔💔💔💔
[09/28/2025 07:09:49.689 AM] Message  || User: adeyumii            || Channel: #report-new-cats                     || Content: I sent in pics of the cats. I didn't name them because I know there ...
[09/28/2025 07:09:54.424 AM] Message  || User: adeyumii            || Channel: #report-new-cats                     || Content: Nor can I distinguish them
[09/28/2025 07:31:03.454 AM] Message  || User: simplyshadow171295  || Channel: #report-new-cats                     || Content: fair enough
[09/28/2025 07:31:26.946 AM] React+   || User: simplyshadow171295  || Channel: #report-new-cats                     || emoji=👍; msg="Ms Sienna is now being taken care of.  I..." by kitadan
[09/28/2025 07:36:54.727 AM] React+   || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="forced to go to Starbucks 💔💔💔💔💔" by a1darek
[09/28/2025 07:37:12.080 AM] Message  || User: lance030315         || Channel: #pictures-of-the-cats                || Content: Though to be clear, not all edges are recommended. Don’t wander arou...
[09/28/2025 07:39:59.334 AM] React+   || User: simplyshadow171295  || Channel: #pictures-of-the-cats                || emoji=‼️; msg="Though to be clear, not all edges are re..." by lance030315
[09/28/2025 07:56:09.249 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: sighs so loudly
[09/28/2025 07:56:20.564 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: i have complained often/at all about the church bells but my god
[09/28/2025 07:56:40.951 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: they went off earlier than they usually do by around 7 minutes and s...
[09/28/2025 07:56:57.557 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: if they go off at 7am like they usually do im gonna do nothing ill j...
[09/28/2025 08:46:11.254 AM] React+   || User: texas_1522          || Channel: #report-new-cats                     || emoji=👍; msg="Ms Sienna is now being taken care of.  I..." by kitadan
[09/28/2025 08:58:47.408 AM] React+   || User: kitadan             || Channel: #pictures-of-the-cats                || emoji=‼️; msg="Though to be clear, not all edges are re..." by lance030315
[09/28/2025 09:03:40.723 AM] React+   || User: coziidruid          || Channel: #bot-spam                            || emoji=❌; msg=1421661600837795976
[09/28/2025 09:03:45.912 AM] React+   || User: coziidruid          || Channel: #bot-spam                            || emoji=❌; msg=1421661885916381387
[09/28/2025 09:03:56.455 AM] React+   || User: coziidruid          || Channel: #bot-spam                            || emoji=✅; msg=1421667853639225395
[09/28/2025 09:04:02.940 AM] React+   || User: coziidruid          || Channel: #bot-spam                            || emoji=✅; msg=1421667953237164195
[09/28/2025 09:04:05.800 AM] React+   || User: coziidruid          || Channel: #bot-spam                            || emoji=✅; msg=1421668018328567922
[09/28/2025 09:06:23.471 AM] Message  || User: adeyumii            || Channel: #bot-spam                            || Content: @Austin B [Records Director] would it be possible to make a command ...
[09/28/2025 09:06:35.829 AM] Message  || User: adeyumii            || Channel: #bot-spam                            || Content: Trying to remember all the outskirt lot 50 cats is hard
[09/28/2025 09:06:44.194 AM] Message  || User: adeyumii            || Channel: #bot-spam                            || Content: Maddox is the only one I remember bc he's already clipped and snipped
[09/28/2025 09:16:35.603 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: guys do we think if we start calling it fall the weather will listen
[09/28/2025 09:16:50.939 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: i need cold weather i have so many candles to burn and sweaters to wear
[09/28/2025 09:39:55.587 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="forced to go to Starbucks 💔💔💔💔💔" by a1darek
[09/28/2025 09:46:32.757 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: i want that kitty at work so bad
[09/28/2025 09:46:43.642 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: i know he would be a menace tho....just know i love him.....
[09/28/2025 09:46:53.533 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: sweaters and jackets are part of my personality
[09/28/2025 09:51:15.064 AM] Message  || User: austinbaustinb      || Channel: #bot-spam                            || Content: Yea
[09/28/2025 09:53:08.799 AM] Message  || User: austinbaustinb      || Channel: #pictures-of-the-cats                || Content: Tbh it’s more of the feeding stations that I’ve heard we don’t make ...
[09/28/2025 09:53:13.074 AM] React+   || User: austinbaustinb      || Channel: #pictures-of-the-cats                || emoji=👍; msg="Though to be clear, not all edges are re..." by lance030315
[09/28/2025 09:58:25.097 AM] Message  || User: slayc127            || Channel: #purrley-pawsitive-pussy-pals        || Content: how does he have the prettiest eyes ever
[09/28/2025 10:00:38.143 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=‼️; msg="how does he have the prettiest eyes ever" by slayc127
[09/28/2025 10:00:38.315 AM] React+   || User: nostalgicsapphic    || Channel: #purrley-pawsitive-pussy-pals        || emoji=🔥; msg="how does he have the prettiest eyes ever" by slayc127
[09/28/2025 10:03:00.361 AM] React+   || User: .s3j                || Channel: #yapper-committee                    || emoji=‼️; msg="i need cold weather i have so many candl..." by slayc127
[09/28/2025 10:06:51.971 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=‼️; msg="sweaters and jackets are part of my pers..." by yaeji
[09/28/2025 10:28:06.969 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: You must wait until October before asking it to be FALL in Texas.  T...
[09/28/2025 10:32:25.095 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: sighs so loudly
[09/28/2025 10:32:28.611 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: i hate this place man
