[11/02/2025 12:03:19.233 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[11/02/2025 01:45:18.261 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[11/02/2025 01:45:18.261 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[11/02/2025 01:45:22.976 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: treats don’t even help he really hates it
[11/02/2025 01:47:21.813 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: Does he scratch anything in the house?
[11/02/2025 01:49:36.098 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: he has scratching posts (rope + cardboard) both vertical and horizon...
[11/02/2025 01:51:30.614 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: Having them doesn't mean he is using them.  So again does he scratch...
[11/02/2025 01:52:13.142 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: yes he definitely uses them we see it regularly and often
[11/02/2025 01:54:52.815 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: How old is your cat?
[11/02/2025 01:55:18.510 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: one and a half
[11/02/2025 01:02:33.796 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: Touch paws just to touch them on all four paws.  Do this for a coupl...
[11/02/2025 01:06:38.656 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: Bro I just grab em and and make them sit like a human between my leg...
[11/02/2025 01:06:58.587 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: If they move or wiggle I just ball up to force them to stay still
[11/02/2025 01:07:53.345 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: Sometimes burrito wrapping helps
[11/02/2025 01:08:14.497 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: last time we got him done he didn’t come downstairs for like 4-5 day...
[11/02/2025 01:08:19.013 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: we had to bring his food up to him
[11/02/2025 01:08:46.030 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: might just be an it is what is thing though cause they have to be cut
[11/02/2025 01:09:33.262 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: Yeah it isn’t something you can ignore since they can hurt him and o...
[11/02/2025 01:09:42.685 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: The more you do it the more you desensitize him
[11/02/2025 01:10:08.557 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:08.557 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:08.760 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:08.760 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:08.955 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:08.955 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:09.133 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:09.133 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:09.336 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:09.338 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:09.522 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:09.522 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:09.712 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:09.712 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:09.906 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:09.906 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:10.098 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:10.098 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:10.202 AM] Action   || Name: profiles_error      || Trigger: sheet_read                           || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:10.202 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:10.763 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:10.780 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:10.812 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:10.844 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:10.876 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:10.908 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:10.924 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:10.972 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.008 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.008 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[11/02/2025 01:10:11.008 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:11.008 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:11.039 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.053 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.085 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.117 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.150 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.182 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.214 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.230 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.230 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[11/02/2025 01:10:11.230 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:11.230 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:11.262 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.295 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.327 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.370 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.392 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.431 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.471 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.505 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.505 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[11/02/2025 01:10:11.505 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:11.505 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:11.537 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.567 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.818 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.848 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.870 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.901 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.934 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.966 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:11.966 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[11/02/2025 01:10:11.966 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:11.966 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:11.999 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.033 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.062 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.100 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.130 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.157 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.173 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.221 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.221 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[11/02/2025 01:10:12.221 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:12.921 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:12.971 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:12.985 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:13.020 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:13.056 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:13.082 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:13.114 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:13.146 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:13.178 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:13.178 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[11/02/2025 01:10:13.178 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:16.470 AM] Action   || Name: profile_update_e... || Trigger: id=1                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:16.502 AM] Action   || Name: profile_update_e... || Trigger: id=2                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:16.711 AM] Action   || Name: profile_update_e... || Trigger: id=4                                 || Output: APIError: [429]: Quota exceeded for quota metric 'Read requests' and ...
[11/02/2025 01:10:17.635 AM] Action   || Name: profile_update_e... || Trigger: id=5                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:18.470 AM] Action   || Name: profile_update_e... || Trigger: id=6                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:19.287 AM] Action   || Name: profile_update_e... || Trigger: id=7                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:20.069 AM] Action   || Name: profile_update_e... || Trigger: id=9                                 || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:20.800 AM] Action   || Name: profile_update_e... || Trigger: id=17                                || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:21.645 AM] Action   || Name: profile_update_e... || Trigger: id=67                                || Output: 404 Not Found (error code: 10008): Unknown Message
[11/02/2025 01:10:21.646 AM] Action   || Name: profile_update_f... || Trigger: count=9                              || Output: 1,2,4,5,6,7,9,17,67
[11/02/2025 01:10:21.646 AM] Action   || Name: profiles_scheduler  || Trigger: update_all                           || Output: ran
[11/02/2025 01:10:23.289 AM] Message  || User: mochenoch           || Channel: #yapper-committee                    || Content: He’ll most likely stop ignoring and hiding the more you mess with hi...
[11/02/2025 01:12:43.615 AM] Message  || User: kitadan             || Channel: #yapper-committee                    || Content: This is why the fake Mama neck pull helps.  It triggers a I'm safe w...
[11/02/2025 01:33:32.169 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[11/02/2025 01:33:32.169 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[11/02/2025 01:33:32.169 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[11/02/2025 01:43:59.787 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[11/02/2025 01:43:59.787 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[11/02/2025 01:43:59.787 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[11/02/2025 01:44:03.936 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[11/02/2025 01:44:03.936 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[11/02/2025 01:44:03.941 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[11/02/2025 01:51:23.499 AM] Action   || Name: send_suppressed     || Trigger: ch=1341696618688286720               || Output: Gmail authorization needed. Open and approve, then reply: 'TomCat, au...
[11/02/2025 01:51:23.499 AM] Action   || Name: gmail_auth_url      || Trigger:                                      || Output: https://accounts.google.com/o/oauth2/auth?response_type=code&client_i...
[11/02/2025 01:51:23.501 AM] Action   || Name: gmail_log_scheduler || Trigger: auth                                 || Output: pending
[11/02/2025 02:00:01.621 AM] Action   || Name: dues_membership_... || Trigger: sheet=1PBvCd6gTwc1_aqlCtn93xPW7XJ... || Output: ws=Membership Application List
[11/02/2025 02:00:04.517 AM] Action   || Name: dues_membership_... || Trigger: row=2                                || Output: Date|Mavorgs Invite|Semester|Email|Full Name|Discord Username|Payment...
[11/02/2025 02:00:04.521 AM] Action   || Name: dues_membership_... || Trigger: total=1002                           || Output: usable=858
[11/02/2025 02:00:04.523 AM] Action   || Name: dues_scheduler      || Trigger: count=0                              || Output: done
[11/02/2025 02:00:04.525 AM] Action   || Name: dues_membership_... || Trigger: sheet=1PBvCd6gTwc1_aqlCtn93xPW7XJ... || Output: ws=Membership Application List
[11/02/2025 02:00:04.527 AM] Action   || Name: dues_scheduler      || Trigger: count=0                              || Output: done
