[11/08/2025 12:00:05.308 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: he will never have to clock into a shift
[11/08/2025 12:04:01.816 AM] Edit     || User: yaeji               || Channel: #yapper-committee                    || sometimes i'll look at myself in my mirror and my face will start to get dist...
[11/08/2025 12:04:01.896 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: (40 questions)
[11/08/2025 12:04:05.974 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: and did it at like
[11/08/2025 12:04:08.465 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: 11:40
[11/08/2025 12:04:16.337 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: skipped like 3 questions bc it was 11:59
[11/08/2025 12:04:21.357 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: got a 92.5 still
[11/08/2025 12:04:23.830 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: LETS GOOOO
[11/08/2025 12:04:30.551 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: ez
[11/08/2025 12:04:32.636 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Same
[11/08/2025 12:04:47.155 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: EZ MONEY
[11/08/2025 12:05:00.895 AM] Edit     || User: yaeji               || Channel: #yapper-committee                    || sometimes i'll stare at myself in my mirror for minutes at a time, completely...
[11/08/2025 12:05:17.714 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: yeah my mom andni have a rocky relationship
[11/08/2025 12:05:22.532 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: its good atm but eh
[11/08/2025 12:05:27.246 AM] React+   || User: spitonme            || Channel: #pet-pictures                        || emoji=🐙; msg=1436595094927966289
[11/08/2025 12:05:38.250 AM] React+   || User: spitonme            || Channel: #external-promotions                 || emoji=🐙; msg="Something else to encourage us to think:..." by morganic._.
[11/08/2025 12:05:47.335 AM] Message  || User: austinbaustinb      || Channel: #purrley-pawsitive-pussy-pals        || Content: ccc short bus
[11/08/2025 12:05:52.034 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: any future plans i made as a kid now no longer involve my mom at all
[11/08/2025 12:05:54.838 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: The canon event of 2021 happened and its never been good since and a...
[11/08/2025 12:05:59.122 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: i don't even want to introduce my partner to her
[11/08/2025 12:05:59.892 AM] Message  || User: kitadan             || Channel: #bot-spam                            || Content: ||Solo Leveling main word||
[11/08/2025 12:06:01.912 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="The canon event of 2021 happened and its..." by .bettercalljack
[11/08/2025 12:06:21.589 AM] React+   || User: kitadan             || Channel: #external-promotions                 || emoji=👍; msg="thats a good point!! my next surveys are..." by melennui
[11/08/2025 12:06:22.199 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: :(
[11/08/2025 12:06:24.570 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: my parents will never meet my hypothetical future partner
[11/08/2025 12:06:25.166 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: breaking the mold here my evil parent is my dad
[11/08/2025 12:06:29.860 AM] React+   || User: yaeji               || Channel: #yapper-committee                    || emoji=🐙; msg="The canon event of 2021 happened and its..." by .bettercalljack
[11/08/2025 12:06:31.114 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: I aint even introducing friends to her her ahh gonna act nice and ki...
[11/08/2025 12:06:33.766 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="breaking the mold here my evil parent is..." by izzyballz
[11/08/2025 12:06:36.198 AM] React+   || User: the_frog.sorcerer   || Channel: #yapper-committee                    || emoji=🐙; msg="breaking the mold here my evil parent is..." by izzyballz
[11/08/2025 12:06:41.078 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: i wish i had a better relationship w my dad bru
[11/08/2025 12:06:41.395 AM] Message  || User: the_frog.sorcerer   || Channel: #yapper-committee                    || Content: Same
[11/08/2025 12:06:47.426 AM] React+   || User: the_frog.sorcerer   || Channel: #yapper-committee                    || emoji=💔; msg="i wish i had a better relationship w my ..." by spitonme
[11/08/2025 12:06:48.039 AM] React+   || User: izzyballz           || Channel: #yapper-committee                    || emoji=🤞; msg="Same" by the_frog.sorcerer
[11/08/2025 12:06:51.549 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: its not bad its just not very existent
[11/08/2025 12:07:04.082 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Mine is
[11/08/2025 12:07:08.748 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: my dad is more evil in bigotry but my mother has treated me signific...
[11/08/2025 12:07:12.105 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: i cant win
[11/08/2025 12:07:12.169 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: then i remembered who they vited to lol
[11/08/2025 12:07:14.952 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: How do we connect death from cancer to fnaf
[11/08/2025 12:07:15.829 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="i cant win" by slayc127
[11/08/2025 12:07:17.640 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: So its funny
[11/08/2025 12:07:23.297 AM] React+   || User: .bettercalljack     || Channel: #yapper-committee                    || emoji=🐙; msg="i cant win" by slayc127
[11/08/2025 12:07:29.400 AM] React+   || User: the_frog.sorcerer   || Channel: #yapper-committee                    || emoji=🐙; msg="i cant win" by slayc127
[11/08/2025 12:07:34.197 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: yk dax
[11/08/2025 12:07:42.959 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: im golden freddy i like to scare
[11/08/2025 12:07:46.853 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: or uh
[11/08/2025 12:07:59.505 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: but i do not prioritize blood at all and only maintain contact becau...
[11/08/2025 12:08:19.491 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: He fnaf died to cancer that was the canon event of 2021 that made mo...
[11/08/2025 12:08:20.473 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: i like nightmare freddy more
[11/08/2025 12:08:21.442 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: see you in 20 brotato
[11/08/2025 12:08:21.490 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: those issues are so arbitrary for me
[11/08/2025 12:08:24.276 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=❤️; msg="see you in 20 brotato" by izzyballz
[11/08/2025 12:08:26.369 AM] React+   || User: yaeji               || Channel: #yapper-committee                    || emoji=❤️; msg="see you in 20 brotato" by izzyballz
[11/08/2025 12:08:30.523 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Is anyone familiar with oc kin onions at all i made one for my mom o...
[11/08/2025 12:08:32.763 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: izzy b*lls why do u know my movements
[11/08/2025 12:08:34.122 AM] Message  || User: the_frog.sorcerer   || Channel: #yapper-committee                    || Content: I was just gunna come on here to say my page numbers in a research p...
[11/08/2025 12:08:36.478 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="but i do not prioritize blood at all and..." by slayc127
[11/08/2025 12:08:40.039 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=😆; msg="I was just gunna come on here to say my ..." by the_frog.sorcerer
[11/08/2025 12:08:41.595 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: gn kaz
[11/08/2025 12:08:44.504 AM] React+   || User: .bettercalljack     || Channel: #yapper-committee                    || emoji=😆; msg="I was just gunna come on here to say my ..." by the_frog.sorcerer
[11/08/2025 12:08:45.974 AM] React+   || User: izzyballz           || Channel: #yapper-committee                    || emoji=❤️; msg="izzy b*lls why do u know my movements" by slayc127
[11/08/2025 12:08:52.170 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: gn twin ♥️
[11/08/2025 12:08:55.308 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="gn twin ♥️" by slayc127
[11/08/2025 12:08:57.513 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: ball
[11/08/2025 12:08:58.163 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Gn
[11/08/2025 12:09:13.533 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: evil mom ,, grief is weird
[11/08/2025 12:09:17.238 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: I also took those idrlabs quizzes in the pov of my mom
[11/08/2025 12:09:23.343 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: you are a creature of habit and i am always awake
[11/08/2025 12:09:39.631 AM] React+   || User: simplyshadow171295  || Channel: #yapper-committee                    || emoji=🎉; msg="LETS GOOOO" by spitonme
[11/08/2025 12:09:44.533 AM] React+   || User: the_frog.sorcerer   || Channel: #yapper-committee                    || emoji=❤️; msg="you are a creature of habit and i am alw..." by izzyballz
[11/08/2025 12:09:48.526 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="you are a creature of habit and i am alw..." by izzyballz
[11/08/2025 12:09:56.942 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: we r very similar izzy
[11/08/2025 12:09:57.319 AM] Message  || User: the_frog.sorcerer   || Channel: #yapper-committee                    || Content: I love your way with words
[11/08/2025 12:09:57.640 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=❤️; msg="you are a creature of habit and i am alw..." by izzyballz
[11/08/2025 12:09:58.515 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=🐙; msg="you are a creature of habit and i am alw..." by izzyballz
[11/08/2025 12:10:18.114 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="I love your way with words" by the_frog.sorcerer
[11/08/2025 12:10:18.768 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: i had an energy drink when i got to work so i am still wired
[11/08/2025 12:10:24.815 AM] Message  || User: the_frog.sorcerer   || Channel: #yapper-committee                    || Content: Real
[11/08/2025 12:10:30.553 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: im ngl jack i thought u were asking us to change the topic to fnaf
[11/08/2025 12:10:37.175 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: No
[11/08/2025 12:10:40.517 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: so thats why i started talking abt nightmare freddy
[11/08/2025 12:10:43.876 AM] Message  || User: slayc127            || Channel: #yapper-committee                    || Content: and also still reeling from the comment i got from my professor but ...
[11/08/2025 12:10:48.634 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: I wanted to approach grief but make it about fnaf
[11/08/2025 12:10:49.589 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="and also still reeling from the comment ..." by slayc127
[11/08/2025 12:10:53.232 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="I wanted to approach grief but make it a..." by .bettercalljack
[11/08/2025 12:10:56.549 AM] React+   || User: .bettercalljack     || Channel: #yapper-committee                    || emoji=🐙; msg="and also still reeling from the comment ..." by slayc127
[11/08/2025 12:11:00.133 AM] React+   || User: the_frog.sorcerer   || Channel: #yapper-committee                    || emoji=🐙; msg="I wanted to approach grief but make it a..." by .bettercalljack
[11/08/2025 12:11:06.986 AM] React+   || User: izzyballz           || Channel: #yapper-committee                    || emoji=❤️; msg="we r very similar izzy" by slayc127
[11/08/2025 12:11:11.012 AM] React+   || User: izzyballz           || Channel: #yapper-committee                    || emoji=🐙; msg="and also still reeling from the comment ..." by slayc127
[11/08/2025 12:11:16.086 AM] React+   || User: izzyballz           || Channel: #yapper-committee                    || emoji=🐙; msg="I love your way with words" by the_frog.sorcerer
[11/08/2025 12:11:16.254 AM] Message  || User: simplyshadow171295  || Channel: #yapper-committee                    || Content: aw man i just missed kazius again
[11/08/2025 12:11:19.167 AM] Message  || User: simplyshadow171295  || Channel: #yapper-committee                    || Content: it will be okay
[11/08/2025 12:11:19.661 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: 😭
[11/08/2025 12:11:22.234 AM] React+   || User: slayc127            || Channel: #yapper-committee                    || emoji=❤️; msg="aw man i just missed kazius again" by simplyshadow171295
[11/08/2025 12:11:30.944 AM] React+   || User: .bettercalljack     || Channel: #yapper-committee                    || emoji=❤️; msg="aw man i just missed kazius again" by simplyshadow171295
[11/08/2025 12:11:49.193 AM] Message  || User: simplyshadow171295  || Channel: #yapper-committee                    || Content: y’know what i’m here for it
[11/08/2025 12:12:04.964 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: im feeling very “cant relate” right now but i can definitely relate ...
[11/08/2025 12:12:11.442 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Im acknowledging the topic change but this in the pov of my mom the ...
[11/08/2025 12:12:29.675 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: ooh
[11/08/2025 12:12:33.508 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: lowkey wanna take that rn
[11/08/2025 12:12:39.071 AM] React+   || User: austinbaustinb      || Channel: #yapper-committee                    || emoji=🐙; msg="but i do not prioritize blood at all and..." by slayc127
[11/08/2025 12:12:46.475 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: fucking 333
[11/08/2025 12:12:48.019 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: Do it in the pov of your opps
[11/08/2025 12:12:48.474 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: i love personality quizzes
[11/08/2025 12:13:24.321 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: i had a thing with personality types like mid high school
[11/08/2025 12:13:29.144 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="i had a thing with personality types lik..." by izzyballz
[11/08/2025 12:13:45.002 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: that was my shit
[11/08/2025 12:13:46.852 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: that sounds really tough few years then,, dealing with grief plus th...
[11/08/2025 12:13:52.360 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: She uses us for money and has taken money 💔
[11/08/2025 12:14:01.013 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: no fr me n quotev went hand n hand
[11/08/2025 12:14:07.315 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=💔; msg="She uses us for money and has taken mone..." by .bettercalljack
[11/08/2025 12:14:08.346 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: OMG QUOTEV
[11/08/2025 12:14:22.946 AM] React+   || User: the.lemonade.stand  || Channel: #purrley-pawsitive-pussy-pals        || emoji=🔥; msg="ccc short bus" by austinbaustinb
[11/08/2025 12:14:25.981 AM] React+   || User: the.lemonade.stand  || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="ccc short bus" by austinbaustinb
[11/08/2025 12:14:27.359 AM] React-   || User: unknown             || Channel: #purrley-pawsitive-pussy-pals        || emoji=🔥; msg="ccc short bus" by austinbaustinb
[11/08/2025 12:14:32.252 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: 16 year old me and myers briggs were like this 🤞
[11/08/2025 12:14:37.301 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: and enneagram
[11/08/2025 12:15:43.315 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: everytime i got into any media i would look up "what (blank) charact...
[11/08/2025 12:16:01.239 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: real
[11/08/2025 12:16:14.288 AM] Message  || User: spitonme            || Channel: #bot-spam                            || Content: ||why did i try erise before||
[11/08/2025 12:16:22.197 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="everytime i got into any media i would l..." by .bettercalljack
[11/08/2025 12:16:34.150 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: i wrote my first fanfic there (aphmau)
[11/08/2025 12:16:49.321 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: silence
[11/08/2025 12:16:51.273 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: mb guys
[11/08/2025 12:16:57.777 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: i’m loling
[11/08/2025 12:17:08.970 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: tyty
[11/08/2025 12:17:20.279 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: it was a love triangle and i made the guys kiss
[11/08/2025 12:17:36.582 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: (it was garroth x laurence x aphmau and this was pre aaron)
[11/08/2025 12:17:37.437 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: period
[11/08/2025 12:17:48.337 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: 😛
[11/08/2025 12:17:57.175 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: interesting
[11/08/2025 12:18:07.725 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: the lobe piercings i did the other day are itching rn
[11/08/2025 12:18:13.211 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: (no text; attachments=1)
[11/08/2025 12:19:10.246 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: POWER THROUGH
[11/08/2025 12:19:23.069 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: they’re healing well though i think they don’t really hurt much at all
[11/08/2025 12:19:49.957 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: i am still a little worried about the right one because i still thin...
[11/08/2025 12:20:00.061 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: but we will cross that bridge when we get there
[11/08/2025 12:21:56.237 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: you just gotta make sure they're clean and spray em with saline
[11/08/2025 12:22:00.203 AM] Message  || User: cici4f3             || Channel: #yapper-committee                    || Content: I'm sure they'll be fine
[11/08/2025 12:22:06.807 AM] React+   || User: cici4f3             || Channel: #pet-pictures                        || emoji=‼️; msg="I get to see my baby again 💙💙" by cici4f3
[11/08/2025 12:22:10.251 AM] React+   || User: cici4f3             || Channel: #pet-pictures                        || emoji=‼️; msg=1436595094927966289
[11/08/2025 12:22:13.996 AM] React+   || User: cici4f3             || Channel: #pet-pictures                        || emoji=‼️; msg="OMG PENUS" by void_now
[11/08/2025 12:25:06.160 AM] React+   || User: a1darek             || Channel: #purrley-pawsitive-pussy-pals        || emoji=😭; msg="ccc short bus" by austinbaustinb
[11/08/2025 12:26:45.389 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: link
[11/08/2025 12:27:18.505 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: pls
[11/08/2025 12:29:09.568 AM] Message  || User: .bettercalljack     || Channel: #yapper-committee                    || Content: https://www.idrlabs.com/difficult-person/test.php
[11/08/2025 12:29:10.323 AM] Edit     || User: .bettercalljack     || Channel: #yapper-committee                    || https://www.idrlabs.com/difficult-person/test.php -> https://www.idrlabs.com/...
[11/08/2025 12:32:25.177 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: tanks
[11/08/2025 12:33:33.699 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: i did the murderous villain one and i was surprised to see an image ...
[11/08/2025 12:33:59.092 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: i'm sorry i don't get pings
[11/08/2025 12:35:58.871 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="i'm sorry i don't get pings" by yaeji
[11/08/2025 12:36:01.139 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: is ok
[11/08/2025 12:36:05.075 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: (no text; attachments=1)
[11/08/2025 12:36:42.635 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: methinks suspicion is high rn bc i lowk just got stabbed in the back...
[11/08/2025 12:37:45.039 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: 😭
[11/08/2025 12:38:21.485 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: what is your rice purity score
[11/08/2025 12:38:29.407 AM] Message  || User: izzyballz           || Channel: #yapper-committee                    || Content: (no text; attachments=1)
[11/08/2025 12:41:29.942 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: im fucking dead
[11/08/2025 12:41:33.490 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: in a public server
[11/08/2025 12:41:43.792 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: 😭😭
[11/08/2025 12:42:07.034 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg=1436605785428983919
[11/08/2025 12:42:34.518 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: shit idc
[11/08/2025 12:42:36.832 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: mine's 55
[11/08/2025 12:42:57.903 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: how bad is that
[11/08/2025 12:42:59.876 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: 😭
[11/08/2025 12:43:05.066 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: not bad
[11/08/2025 12:43:20.760 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: i've done things but i haven't done like crack and shit
[11/08/2025 12:45:20.309 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: 😭
[11/08/2025 12:45:41.900 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: there are certainly crazy questions on there
[11/08/2025 12:47:17.853 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: i'll just say most of the boxes i ticked were on the first half
[11/08/2025 12:47:23.745 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: and only a few from the second half
[11/08/2025 12:47:31.070 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: but that's a pretty normal thing i think
[11/08/2025 12:47:54.243 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: omg
[11/08/2025 12:48:01.529 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: maybe i've said too much
[11/08/2025 12:48:11.325 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: the banner 😭
[11/08/2025 12:48:33.318 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: so derpy
[11/08/2025 12:48:42.914 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: yeah this is a college club discord 😭
[11/08/2025 12:48:52.885 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: not really a private friends server
[11/08/2025 12:49:14.470 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: but i cant wait till im stress free and can hop on minecraft
[11/08/2025 12:49:22.420 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: rn my pc ?? isnt turning on
[11/08/2025 12:49:25.437 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: and im not sure why
[11/08/2025 12:49:38.890 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: i think i mightve “dusted” wrong
[11/08/2025 12:49:58.412 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: sigh so stressful
[11/08/2025 12:52:31.055 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: omg yeah
[11/08/2025 12:52:39.677 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: i've been waiting for you to joinnnn
[11/08/2025 12:52:58.317 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: i've got a little house around 200 blocks away from 0,0 in some dire...
[11/08/2025 12:53:13.430 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: it's on an island somewhere in the middle of an ocean
[11/08/2025 12:53:33.591 AM] React+   || User: spitonme            || Channel: #yapper-committee                    || emoji=🐙; msg="i've been waiting for you to joinnnn" by yaeji
[11/08/2025 12:53:36.816 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: wahhh im sorry
[11/08/2025 12:53:41.891 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: inconveniently within a few blocks of an ocean monument with a bitch...
[11/08/2025 12:53:48.188 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: and raising my blood pressure
[11/08/2025 12:53:53.607 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: i tried fixing it in the beginning but likw lowk
[11/08/2025 12:53:55.013 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: dont even know
[11/08/2025 12:54:04.419 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: now i have a bunch of laundry on my chair
[11/08/2025 12:54:19.236 AM] Message  || User: yaeji               || Channel: #yapper-committee                    || Content: that's strange
[11/08/2025 12:54:29.017 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: will atempt on sunday
[11/08/2025 12:54:35.471 AM] React+   || User: yaeji               || Channel: #yapper-committee                    || emoji=❤️; msg="will atempt on sunday" by spitonme
[11/08/2025 12:54:38.293 AM] Edit     || User: spitonme            || Channel: #yapper-committee                    || will atempt on sunday -> will attempt on sunday
[11/08/2025 12:54:51.834 AM] Message  || User: spitonme            || Channel: #yapper-committee                    || Content: i can like,,, click the button on the back of my monitors on
