,"Helper count column, this is just the ID number extracted, ignore.",Last seen date,Last Seen time,Last seen by,,Link of most recent image,Location,Physical Description,Birthday estimate,Behavior,TNR'd?,TNR date,Male or Female,Common nicknames,Comments,Number of pics,Recently seen? (Automatically checked if a photo is sent of this cat in the last 3 months AND they are NOT 'confirmed to not return'),"Confirmed to not return (Use this if deceased, adopted, assumed permanently missing, or similar)"
11. Laufey,11,3/4/2025,1:58:08 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1ItRaxXxJtnQrN9xfklBvqwOWq_cgsdOh,Lot 50,White calico kitty. Gray and orange,1/1/2024,"Very Skittish, Will rarely be the first to appear and will only come for food when the other cats come up (specifically faye)",No,,Female,,,,FALSE,TRUE
12. Faye,12,2/27/2026,12:05:32 PM,pancakemixteamdj,,https://drive.google.com/uc?export=view&id=18XUepEmQdurTowCi9iD0ZB5kXBa3n166,Lot 50,"Short dense gray fur. Yellow eyes. Small white patch between eyes, on chin, on throat. Small amounts of white on front paws, white socks on rear legs.",1/1/2024,Glutton and a bit silly. Usually follows around Boots or the other black cats,Yes,8/25/2025,Male,,,,TRUE,FALSE
13. Lionel,13,4/15/2024,2:33:04 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1MTXkDDtLuMhTrHMkCeGeEq9gfoCwJ-MT,Lot 50,Microwave shaped creature but a greyish brown,1/1/2020,Likes jumping down from the fence onto the Lot 50 feeding stations to scare the other cats.,Yes,3/25/2025,Male,,,,FALSE,TRUE
14. Pencil 2,14,2/26/2025,8:25:14 PM,m_digio,,https://drive.google.com/uc?export=view&id=11PeY1d-1EBRFHfHKpa4gSlUKR4Sp9IR-,Bookstore / First Baptist Church,Dark Gray Tabby ,1/1/2024,Very hidden.,No,,,,,,FALSE,TRUE
15. Snowball,15,3/4/2025,1:59:57 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1QFm0CnLrx1naep3hZDLEnjAteq_7mFON,Centennial Courts,All white kitty,1/1/2022,Chill but not social,No,,,,,,FALSE,TRUE
16. Marley,16,3/4/2025,2:01:38 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1pZ5A71MKxug_hQXGYt5s5lH561N5PtOC,Centennial Courts,Gray,1/1/2023,,No,,,"Momma, Scrambled",,,FALSE,TRUE
17. Bobbie,17,2/24/2026,4:51:15 PM,wildflower1202,,https://drive.google.com/uc?export=view&id=1TT5UiMXRCV1SCH2xzoEmbAkvE64OPlY7,Bookstore / First Baptist Church,Brown and cream Tortico with a short tail. Scrawny and small. Very angular and angry face. Face is half orange and half brown with a little white on the nose. She also has white paws.,1/1/2018,"Many words to describe her. None are positive. Very ""social"" with multiple litters.",Yes,1/16/2026,Female,,TNR priority - caught 1/15/26,,TRUE,FALSE
18. Porkchop,18,1/1/2024,1:37:16 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1XQ0RPqE6c2ji8hudjg-783ZQrnDeRPjj,"COBA, All over!","""Lookalike"" to eraser. Tuxedo cat. Fairly rotund.",1/1/2015,Appears near business building occassionally. Not social but does not seem to cause fights,,,,Oreo Mcflurry,,,FALSE,TRUE
19. Rolo,19,5/2/2025,6:29:12 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1yUOaRNV3cj07oJgEUwbImNYRf9TPlzKD,Bookstore / First Baptist Church,Rich colored brown tabby. Often followed by Citlali (her kid). A lot of orange around muzzle. Prominent white coloring on lower eye lid,1/1/2023,Skittish momma who gets pissed if you get near her,No,,Female,,Sibling to Toblerone. Rumored as deceased as of 2/9/2026,,FALSE,TRUE
20. Citlali,20,2/28/2026,8:35:59 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=18bD58QEtSMvFzQr3pm1eHJeqTpkl9j-t,Bookstore / First Baptist Church,Honey brown tabby. Always seems to be judging. Looks exactly like her mom (Rolo) and could often be seen with her. W shaped collar marking.,10/1/2024,Friendly as a baby. Loves churu treats and may come up to you to get one if she knows you. Otherwise kinda just watches you.,Yes,2/16/2026,Female,,"Her name means ""Stargazer"" in Nahuatl! Nezhui/Coatl/Chilton's half sister.",,TRUE,FALSE
21. Paquini,21,2/28/2026,8:35:59 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=14NbFjJ5SnlgGIRWFkjvr1VHrbgehYFt1,Bookstore / First Baptist Church,Black and white tuxedo. White goes up his face and he has a black blaze on his nose and black markings on his muzzle and chin,4/1/2024,Hungry boy. Will eat food if you set something out for him.,No,,Male,Panini,"Their name means ""Happy"" in Nahuatl!",,TRUE,FALSE
22. Glockenspiel,22,6/7/2025,12:44:21 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1uKGD-lV0b9aIAERyq0PwIcbdJH84cMdZ,Bookstore / First Baptist Church,Square orange tabby. Medium-long coat. Similar build to Tang,6/1/2022,Runs away. Usually only ever seen at night,No,,Male,"Glock, Curry",,,FALSE,FALSE
23. Tlacuilo,23,8/19/2025,10:01:38 AM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1qR_rUOxunHbmpuobSpXdww7Bh-3HRrX8,Bookstore / First Baptist Church,"Solid black, skinny",1/1/2022,Has a creepy stare,No,,,,"Their name means ""Painter"" in Nahuatl!",,FALSE,FALSE
24. Garfield,24,6/28/2025,7:03:04 AM,ericagott,,https://drive.google.com/uc?export=view&id=1JiVFMRwLsbyqRc3Y4wjxtr2IjCpEPYxh,Center Chase Apartments & The Greens,"Big. Fat. Orange.
Long hair",1/1/2017,"""Skittish, Wants me to feed him, but won't let me near him. (But he gives me slow blinks!)""",Yes,2015,Male,Tito FluffyButt,Erica Gott center chase kitty. First mention here -> https://discord.com/channels/551082419768393729/551084964318543904/640345648310255642,,FALSE,FALSE
25. Aphrodite,25,5/21/2025,7:55:06 PM,kitadan,,https://drive.google.com/uc?export=view&id=14KLWzmmL396hedpKJ4iXy3ru9C5Artup,Center Chase Apartments & The Greens,Brown/Orange tabbico (tabby tortie) with lots of white. Colored patches are very clean looking.,1/1/2017,"""Very friendly, comes into my home to visit and get rubs. Will let one neighbor pet her... sometimes.""",Yes,2017,Female,Dittie,Erica Gott center chase kitty,,FALSE,FALSE
26. Tang,26,5/21/2025,7:55:06 PM,kitadan,,https://drive.google.com/uc?export=view&id=1e2uiMijVjHfFT1MCtcbgYgbYg3ljPZKz,Center Chase Apartments & The Greens,Rusty orange longhair tabby. Is deaf,1/1/2013," ""Grandsire to most, if not all of the rest of the cats. Friendly to me, but i've never picked him up... just petted him a lot. He lets me cut mats out of his fur.",Yes,2015,Male,,Erica Gott center chase kitty,,FALSE,FALSE
27. Angel,27,2/24/2026,4:46:12 PM,kitadan,,https://drive.google.com/uc?export=view&id=10PKC7cmxu3EZL-X_rKk1r-JucBfKjfJd,Mary Kay Apartments,Brown/Gray tabby with medium white,1/1/2022,"Angel is the only friendly cat in both the Zen Colony and in the MKZ location. Once a house pet, he was dumped at Zen and found a new home with his colony.",Yes,4/4/2022,Male,,TNR Chat link,,TRUE,FALSE
28. Friga,28,3/4/2025,2:40:43 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1p7c8cXbD12fa9kXAQwC1N2WE7N-Tsvis,Mary Kay Apartments,Black/Orange calico. White socks and tail tip,1/1/2020,"Grumpy lady, she doesn't like to get near people. Will often just sit or loaf and watch you until you leave.",Yes,10/15/2021,Female,,,,FALSE,FALSE
29. Ginger,29,2/15/2026,1:07:53 PM,kitadan,,https://drive.google.com/uc?export=view&id=1yIv6HUijN0WlJbt1IpLSqh6u1dFPzYNd,Zen Gardens Apartments,Round orange tabby. You'll know him when you see him.,1/1/2019,"Ginger is an old-soul who is very laid back. He is not big on humans but as long as you respect his space, he will be okay with you.",Yes,11/14/2021,Male,,First mention here -> https://discord.com/channels/551082419768393729/551084964318543904/640611616022331432,,TRUE,FALSE
30. Pepper,30,2/26/2026,12:13:14 PM,kitadan,,https://drive.google.com/uc?export=view&id=1Dfntkf_73h39-CoyCAcAwBBKhofva8Cv,Mary Kay Apartments,Solid black with bald patches on arms,1/1/2020,Pepper is incredibly skittish and unsure of humans,Yes,10/25/2021,Female,,,,TRUE,FALSE
31. Scraggle,31,5/6/2025,7:58:52 PM,kitadan,,https://drive.google.com/uc?export=view&id=1Ror1mjD9H-MvTa7oz6JCLm2hSZeDP5ab,Heights On Pecan,Full black cat. Left eye doesn't open all the way and there seems to be some scars of previous fights. ,1/1/2020,He'll hiss at you all scary and mean but is a fairly chill dude. Doesn't want to be pet or anything but is arguably less skittish than Eraser,No,,Male,,"During a TNR event on 1/5/2026, a cat that is suspected to be scraggle tested positive for FIV and was euthanized. The cat was found in the neighborhood west of doug russel park and had a similar eye problem and build as previous ID's of scraggle.",,FALSE,TRUE
32. Noir,32,2/26/2026,12:13:14 PM,kitadan,,https://drive.google.com/uc?export=view&id=1Dfntkf_73h39-CoyCAcAwBBKhofva8Cv,Zen Gardens Apartments,Black/Orange brindle tortoiseshell,1/1/2019,Super duper skittish lady. Will stare at you with wide eyes until you are 20 feet away,No,,Female,,,,TRUE,FALSE
33. Zee,33,2/3/2026,1:22:50 PM,kitadan,,https://drive.google.com/uc?export=view&id=1CDifH2yDeqw7YhHqL9iPEUPZz_fDy94M,Mary Kay Apartments,"Sandy light orange tabby, when she stares you can tell she only has one braincell",1/1/2021,"While not liking humans much, Zee is very talkative",Yes,,Female,,,,TRUE,FALSE
34. Oreo 2,34,2/26/2026,6:42:16 PM,izzyballz,,https://drive.google.com/uc?export=view&id=1FfHxTpKPCPQcK6rsWLt1uPqRJHBo64rU,"Bookstore / First Baptist Church, All over!, West Campus",Tuxedo cat! No spots or splotches. Plain tuxedo with no bowtie.,1/1/2022,,No,,Female,bink,"Assumed to have a litter of kittens near West Hall, confirmed sighting of tuxedo kittens -Mira, maybe paquini's father? -atlas",,TRUE,FALSE
35. Stove,35,2/18/2026,2:58:23 PM,not_d3fault_1420,,https://drive.google.com/uc?export=view&id=1qCxf951RPc34mn3JiV49PqkeSiE7YbWR,All over!,"gray on top, red or orange on bottom. fluffy tail",1/1/2025,Barks at you and chases other stoves around,We don't do that.,,yes,Squonk,,,TRUE,FALSE
36. Scringle,36,2/27/2026,4:44:22 PM,le_nuit_sans_fin,,https://drive.google.com/uc?export=view&id=1NB5rvY2N5DTNkUmU9cZgeTrB1Ez1UOcF,Heights On Pecan,Longhair Marble with white belly and face,1/1/2021,Skittish but not hostile to other cats. ,No,,Male,Blorbo,,,TRUE,FALSE
37. Dingus,37,1/21/2026,7:26:49 PM,le_nuit_sans_fin,,https://drive.google.com/uc?export=view&id=1U6FJ-DLyk8NMtLmVT5z5DzCXadsd8VtY,Heights On Pecan,Fat tabby,1/1/2023,Got in a yelling match with scraggle but does not seem to be violent,,,Male,,,,TRUE,FALSE
38. Winston,38,2/23/2026,5:14:52 PM,cici4f3,,https://drive.google.com/uc?export=view&id=1BAJ_3JPTrhENVIbJzBHtNkW4dDDjirju,Lot 50,"Black cat with white on lip/nose, white socks on back feet, and little bits of white on front feet",1/1/2019,Calm overall. Usually with Radar and Faye. May walk near you and doesn't mind people,Yes,3/5/2021,Male,Sonar,https://discord.com/channels/551082419768393729/756137860570021907/824836586348871720,,TRUE,FALSE
39. Radar,39,2/23/2026,5:15:06 PM,cici4f3,,https://drive.google.com/uc?export=view&id=1bwv2nIV89G_Q7obmM1IKKPo0yeHzwUsk,Lot 50,Black and white tuxedo cat. Eyes are always wide and scared-looking,1/1/2019,"Goofball of a boy. Very confident, too. Not super afraid of people",Yes,9/14/2023,Male,,https://discord.com/channels/551082419768393729/756137860570021907/1152097078592409630,,TRUE,FALSE
40. Dumpster,40,2/27/2026,12:05:32 PM,pancakemixteamdj,,https://drive.google.com/uc?export=view&id=18XUepEmQdurTowCi9iD0ZB5kXBa3n166,Lot 50,"Fluffy gray tabby with lots of white. Has ""rings"" on tail",1/1/2019,is a lover of all,Yes,,Female,,,,TRUE,FALSE
41. Gregory,41,2/23/2026,5:14:52 PM,cici4f3,,https://drive.google.com/uc?export=view&id=1BAJ_3JPTrhENVIbJzBHtNkW4dDDjirju,Lot 50,"Black cat with white on legs, belly, neck, and face. White on the lower side of his face. He has a dot on his nose",4/1/2024,Usually with Eden. Skittish,Yes,9/10/2025,Male,,,,TRUE,FALSE
42. Rubber,42,2/23/2026,5:15:35 PM,cici4f3,,https://drive.google.com/uc?export=view&id=1FjBzXKdnPYu7WyqkThQx6fU4BQYy3tWm,Lot 50,"Gray top, white belly. Big belly. Small mole on cat's right side of face. Oddly microwave-esque, but in a french way.",2/1/2022,Not super common sighting but will hang back and eat.,Yes,9/10/2025,Female,Stupid,The (now former) Lot 50 colony queen,,TRUE,FALSE
43. Bruno,43,11/2/2025,5:49:37 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1KcshJ7ELElYlaRibHU5l_8xC0t2EaV9k,Lot 50,"Gray cat, may look black in shadows. Short-to-medium length fur. White socks on rear legs, small amount of white on chest and chin, small amount of white on front toes",1/1/2022,Kinda a dickhead to gorygreg,No,,Male,,,,FALSE,FALSE
44. Shitbag Cuntface,44,2/28/2026,3:37:12 PM,adeyumii,,https://drive.google.com/uc?export=view&id=14L2UC-aItcWp4vLlCFW2hbY_LnrEkPhb,Lot 50,Currently the only brown tabby at Lot 50. He is a rich brown with very dark stripes. Has a prominent stripe along his back. Face is thin and a bit round.,1/1/2019,Is pretty mean to the other cats sometimes and can be a big glutton,Yes,By 2/10/2021,Male,Bullet,,,TRUE,FALSE
45. Boots,45,2/27/2026,8:04:07 PM,racerdg,,https://drive.google.com/uc?export=view&id=1s_U8hFrsr5JNnS49xUN3PHs7v6vhbLw1,Lot 50,Fluffy black cat with lots of rusting. Parts of fur look gray or orange. Has white boots on back feet,1/1/2019,Super confident and calm. Other cats give him head bumps often. Confident around people,Yes,2/6/2023,Male,,https://discord.com/channels/551082419768393729/756137860570021907/1072133998438006785,,TRUE,FALSE
46. Princess,46,2/16/2026,6:37:35 PM,izzyballz,,https://drive.google.com/uc?export=view&id=1XAgGE3sYiSVyrSSZenF4vcTTvJWgZwd6,Lot 50,Orange and black tortoiseshell. Has a lot of brindled orange bits along body and face. Face looks mostly orange.,1/1/2019,Hangs out with Nefarious a lot. Only a little skittish,Yes,,Female,,,,TRUE,FALSE
47. Nefarious,47,1/15/2026,6:16:15 PM,izzyballz,,https://drive.google.com/uc?export=view&id=1OeJrp6LJpFj2hhNksS52fXQCaeusvfXv,Lot 50,Huge and super fluffy gray tabby with lots of white. Looks like albert einstein,1/1/2019,"Probably the oldest cat at L50. Mostly hangs out behind fence, but will come out after a while after being fed",Yes,2021,Male,Double Cheeseburger,Euthanized 11/7/2025,,TRUE,FALSE
48. Houdini,48,9/24/2025,1:03:42 PM,kitadan,,https://drive.google.com/uc?export=view&id=1oJqp8bd8bQHshrE51aOOlB5KvSnu9CBe,Mary Kay Apartments,Seal Point Siamese (very dark face and legs but light cream colored body),1/1/2021,"""Super rare sighting, doesn't like people""",,,,,,,FALSE,FALSE
49. Freya,49,10/7/2025,9:07:04 AM,kitadan,,https://drive.google.com/uc?export=view&id=1ccCh5K4EgIDT0ITEEMGQfNFfj1zBEqST,Mary Kay Apartments,Gray and Orange tortoiseshell. Mostly gray. Looks especially sleepy most of the time.,1/1/2021,"A weird girl, loves head bumping the rest of her colony. Is especially close to her brother, Thor",Yes,,Female,,,,FALSE,FALSE
50. Thor,50,10/14/2025,5:32:27 PM,kitadan,,https://drive.google.com/uc?export=view&id=1UTwH1c8TwN_1T9iqyt-0NJeKRHiDn3e5,Mary Kay Apartments,Solid Gray with a very similar face and build to Freya. Face looks somewhere between sleepy and neutral,1/1/2021,Always looks kind of sleepy. Absolute foodie. Will always be sleeping near the feeder,Yes,,Male,,,,FALSE,FALSE
51. Odin,51,1/28/2026,2:32:11 PM,kitadan,,https://drive.google.com/uc?export=view&id=1_H370_MT1R7xzMUYKy4jVoNz1eURXalR,Mary Kay Apartments,Black and Orange Tortoiseshell,1/1/2021,"Odin is a majestic cat and a very rare one at that. He is a male tortoiseshell/calico, which makes him 1 in 3000!",Yes,2022,Male,,,,TRUE,FALSE
52. Voidling,52,11/18/2025,3:51:16 PM,a1darek,,https://drive.google.com/uc?export=view&id=18TdJ8hoaMQuDhrjlCLG3QnPC-l2kw8Q4,"Center Chase Apartments & The Greens, Bookstore / First Baptist Church","""Black shorthair, female""",1/1/2023,"""She just shows up when she's hungry, when she's either in heat or nursing a litter. Very skittish. Brought 2 kittens to parking lot last summer.""",Yes,6/6/2025,Female,Boo,https://discord.com/channels/551082419768393729/756137860570021907/1380371495859126394,,FALSE,FALSE
53. Piggy,53,3/4/2025,2:31:03 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1hUe7z7wKCGbi4scR9H0298DY9pBrVIEj,Center Chase Apartments & The Greens,"Shorthair brown tabby with extra toes on all of his feet. ""Piggy toes""",1/1/2017,"""This boy is super friendly to me. I can pick him up, give him kisses on his head, carry him around. Wants me to feed him by holding the plate on the fence while he eats.""",Yes,2017,Male,Piggy toes,Tang's great-grandson,,FALSE,FALSE
54. Tommy,54,3/27/2025,12:37:22 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1aFjIc5tMVxxUKi1GhsECuAnTk4eMkWjk,Center Chase Apartments & The Greens,Orange tabby.,1/1/2021,"""Comes around when Boo is there. Pretty sure he's the baby-daddy, lol.""",No,,Male,,,,FALSE,FALSE
55. Callie,55,7/24/2025,3:38:14 PM,hatshura,,https://drive.google.com/uc?export=view&id=1QNcklmKws2IYRB8qA_bNhCZsGCPWwk-B,Center Chase Apartments & The Greens,Calico,1/1/2014,"""Very skittish, is just now coming to eat on my porch while I'm there. It took me 6 years to catch her and stop the litters!""",Yes,08/01/2020,Female,,One of tang's first daughters,,FALSE,FALSE
56. Lard,56,3/23/2025,12:42:25 AM,void_now,,https://drive.google.com/uc?export=view&id=1-ZZJPdgIDvCSut_9hu5c3e2b4GDuhUrd,Mary Kay Apartments,Slightly rotund happy lookin gray tabby fella,1/1/2021,"Rare sighting, but friendly!! Loves pets",No,,Male,"""I can't believe its not pencil!""",,,FALSE,FALSE
57. Airbus A320 Neo,57,5/6/2025,8:50:00 PM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1Fc4dX0pMnKx0NqeEx6ZOhkwwDOrOgtBO,Lot 50,Gray tabby with sharp yellow eyes and a pink nose,1/1/2021,Lives under some cars and the south end of lot 50. Often seen with Honda and Pallas,No,,,,,,FALSE,FALSE
58. Eden,58,2/22/2026,2:08:16 PM,pandaaaas,,https://drive.google.com/uc?export=view&id=1AAvBJZMjbEc181-QN6UDWkP-hVna1lWf,Lot 50,Gray tabby with white belly. Stripes are super dark compared to main coat,1/1/2024,Very brave. Will stare at you for a while before eating to determine if you are a threat.,Yes,8/25/2025,Male,,Likely sibling to Gregory,,TRUE,FALSE
59. Creamsicle,59,2/11/2026,6:02:19 PM,cici4f3,,https://drive.google.com/uc?export=view&id=1MO-5Coo4geQfqh5_cRrI5VNoH8TqMMGW,West Campus,Orange with white belly,4/1/2024,Young and playful! But not a fan of humans,No,,,,,,TRUE,FALSE
60. Redacted,60,8/28/2025,6:46:07 PM,simplyshadow171295,,https://drive.google.com/uc?export=view&id=1152CVsvbiIqTH3p26LnAi1hfhlWJFanf,West Campus,Fully white cat with hints of pink/orange on ears.,4/1/2024,"Incredibly skittish and fast. Best defined as ""zoom""",No,,,Marshmallow,,,FALSE,FALSE
61. Cassie,61,2/23/2026,5:15:06 PM,cici4f3,,https://drive.google.com/uc?export=view&id=1ks0r1KLLnfWkv1XMVyHRfwgLLTeMi_EU,Lot 50,Fat black and white cat. White markings make his cheeks look more round. Tip of tail is white,1/1/2021,Fat boy,No,,Male,,,,TRUE,FALSE
62. Gorygreg,62,2/24/2026,1:44:38 PM,pancakemixteamdj,,https://drive.google.com/uc?export=view&id=1urKQabCsco_UgJYUcmrDeHfuGC0oet7y,Lot 50,"Black and white cat. Distinct white ""collar"" marking",4/1/2024,pregnant,No,,Female,Gorygreg,"VERY similar to gregory, but back right legs are different.",,TRUE,FALSE
63. Mr Stinky,63,2/24/2026,4:46:12 PM,kitadan,,https://drive.google.com/uc?export=view&id=1FpdmKR6RrX9_uYuTCBxpaNWLa2VgfR4v,"Mary Kay Apartments, All over!",Longhair classic (cinnamonroll) brown tabby,1/1/2021,"""He is always hassling noir as he is not neutered"" ",No,,Male,,,,TRUE,FALSE
0. NotACat,0,2/28/2026,8:55:19 PM,emiximez,,https://drive.google.com/uc?export=view&id=1dENCLri59NxQdfnPSl_00FfqFmFjY9tU,All over!,"This is to label things as ""not a cat"". If someone sends something that is a meme or not a campus cat, mark it as this instead of deleting it. This is needed to not confuse the TomCatVision thing.",1/1/1984,if not friend why friend shaped?,We don't do that.,,creature,,,,TRUE,FALSE
64. Ernie,64,7/2/2025,9:34:45 AM,austinbaustinb,,https://drive.google.com/uc?export=view&id=1rKPTqGtas9lXSfh4aDK2s9wJh17z9bIp,Heights On Pecan,Tuxedo with not a ton of white on belly. Last seen with a white flea collar and very skinny.,1/1/2023,"Fighting with Dingus, but doesn't seem as skittish or feral. Possible abandoned cat.",,,,,,,FALSE,FALSE
65. Tepi,65,1/31/2026,2:39:19 PM,adeyumii,,https://drive.google.com/uc?export=view&id=1RIxubjTgcnJhMyABaMdQB4AvnqaiXB9l,Bookstore / First Baptist Church,"Light gray tabby who loves chilling in the sun. Green eyes, single father. Dark red nose. Defined chin",4/1/2024,Doesn't immediately run away when approached. May take bribes.,Yes,1/16/2026,Male,Christian name Tiny,"Single father of Nezhui, Coatl, and Chili",,TRUE,FALSE
66. Toblerone,66,11/1/2025,4:40:38 PM,_costco_wholesale_,,https://drive.google.com/uc?export=view&id=1VrJdw26oswXc3k0OvKo3XWz4miSOMZJu,Bookstore / First Baptist Church,Angry lookin feller,1/1/2021,Doesn't run away. Will stare at you angrily,No,,Male,,Rolo's assumed brother,,FALSE,FALSE
67. Waffles,67,2/10/2026,3:00:37 PM,bixzu,,https://drive.google.com/uc?export=view&id=1WDHXRABdtUjhOycAoMO6J5AjK34NmzdF,All over!,"Brown tabby with eerie, bright yellow eyes. Stares at you angrily. Has a distinct roman numeral ""3"" on  their right side.",1/1/2021,Bitchass man,No,,Male,,,,TRUE,FALSE
68. Unnamed Noir Child,68,7/20/2025,7:26:13 PM,kitadan,,https://drive.google.com/uc?export=view&id=1BB91PvSddDbaHzv7cWz0mDv96J1sHEq2,"Mary Kay Apartments, Zen Gardens Apartments",All black,6/1/2024,,No,,,UNC,Noir baby,,FALSE,FALSE
69. Kinder,69,2/27/2026,9:24:13 PM,thedan5000,,https://drive.google.com/uc?export=view&id=10Vkfwoh-0QoVr6Qtu7g7PUoidcNpnKfR,Bookstore / First Baptist Church,"Brown tabby, almost identical to Hershey. Candid expression. His ears too big for him damn he",1/1/2022,Hates you and your bloodline probably,No,,Male,Bookstore Hershey,Probably also Rolo's brother,,TRUE,FALSE
